stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,38.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.34,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.1,17.86,0,0,67.72,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.95,1.36,0,6.45,0,0,0,5.67,0,0,0,0,0,0,0,0,2.88,0,0,2.19,114.78,0,0,0.93,0,2.3,0,3.58,0,0,1.03,39.42,0,0,0,0,0
 24-34,0,0,0,0,1.24,0.68,0,25.05,0,0,0,4.72,0,0.98,2.63,0.6,0,0,0.77,1.09,10.23,0.61,0,3.7,564.28,0,3.78,1.98,0,4.92,0,0,1.26,0,0,196.81,0,0,7.84,0,0
 36-46,0,0,0,0,10.43,0,0,13.49,3.59,0,0,16.98,0,0,0,5.1,0,0,0,0,1.5,0,0,1.29,798.52,0,3.52,9.95,0,8.93,0.91,0,0,0,0,264.72,0,0,0,0,1.54
 48-58,0,0,0,0,8.62,0,0,117.64,0,0,1.29,48.71,0,0.78,7.46,0.75,0,2.71,0,0,15.02,0,0,1.9,1541.2,1.03,1.05,2.42,0,4.59,0,0,4.43,0,0,292.99,0,0,4.22,0,4.51
 60-70,0,0,0,0,2.29,0,0,436.85,0,3.13,0,65.06,0,1.32,18.08,8.09,0,4.17,0,0,19.78,0,0.76,2.35,2146.13,0,1.78,1.31,0,13.89,0,0,0,0,0,312.26,0,0,1.08,0,0
 72-82,0,0,0,0,8.96,6.06,0,610.59,0,4.54,0,87.81,0.56,2.31,4.15,1.91,3.95,14.02,6.28,0,29.64,0.74,12.46,2.55,2989.25,0,10.76,11.14,0,2.28,0,0,0,0,0,257.56,1.43,0,2.28,1.11,0
 84-94,0,0,0,0,6.86,1.46,0,514.03,1.02,0,0,62.67,1.56,0,26.11,1.79,4.06,7.89,0,1.35,35.05,0.76,0,0.95,2082.28,0,12.6,9.56,0,10.4,0,0,0,0,0,184,0,1.64,7.1,2.93,0
 96-106,0,0,1.38,0,8.84,4.91,0,372.39,1.34,0,7.54,106.16,3.51,1.33,25.73,4.39,1.06,9.3,1.54,0,44.12,0,3.95,0,2096.47,0,7.98,30.79,0,5.93,0,0,0,0,0,97.5,4.07,0.94,5.38,0,0
108-118,0,0,0,0,13.9,4.56,0.55,419.04,0,6.07,1.47,158.04,0.66,0,16.57,5.58,0,19.24,4.99,0,39.79,0,1.56,2.69,2094.68,0,2.93,17.3,0,2.07,0,0,0,0,0,111.97,2.55,0,0,0,0
120,0,0,3.73,0,18.15,0,0,423.69,0,0,2.66,427.84,7.81,2.77,50.29,0,0,12.5,0,0,38.87,1.72,11.72,0,4098.71,0,5.4,13.32,0,3.58,0,0,0,1.63,0,129.17,0,0,0,0,0
