stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,597.72,11490.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,588.53,10639.06,0,9.08,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,188.35,0,0,0,62.18,0,157.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,52.56,239.72,0,352.59,0,0,0,805.37,0,0,0,0,111.08,0,0,0,0,0,0,0,0,0,0,6402.25,47.26,0,0,2011.53,0,5.5,102.56,0,12.75,0,0,0,0,0,0,0,0
 10-12,0,249.52,0,240.81,0,72.94,0,707.9,0,0,0,0,8.14,0,0,0,0,0,5.32,0,0,0,3.87,6355.09,87.67,0,0,2068.33,0,0,15.51,4.75,212.69,0,0,31.89,0,0,0,0,0
 14-21,0,0,1.07,15.61,206.92,72.86,0,175.2,0,0,58.9,7.29,0,0.97,3.42,10.09,0,0,2.01,121.34,0,0,102.42,3315.06,39.01,11.85,12.62,82.15,0,26.12,8.11,214.41,8.05,0,117.44,674.66,0,0,8.04,0,0
 24-34,0,0,0,8.7,66.72,15.36,0,592.72,2.14,8.4,84.9,1.08,0,7.29,8.22,8.78,0.89,1.95,3.53,306.41,0,2.47,100.15,3582.13,3.38,23.08,32.14,0,0.99,47.14,0,0,2.65,0.87,14.19,667.06,0,0,50.87,0,8.12
 36-46,0,0,0,0,39.93,1.4,0,663.08,21.69,1.75,51.03,3.31,0,0.56,1.23,0.59,15.46,3.04,2.97,171.2,0,5.92,60.02,1770.88,1.38,13.43,20.48,0,0,25.25,0.78,1.63,6.98,0,0,324.73,0,0,26.21,0,1.52
 48-58,0,1.29,0,0,22.58,3.45,0,631.83,8.29,4.05,70.83,3.21,0,2.01,2.4,7.06,0.89,0.93,6.57,161.22,1.45,4.21,40.26,766.05,0,3.57,10.87,4.77,0,23.21,0,0,0.61,0,0,90.35,0,0,26.15,0.48,8.95
 60-70,0,0,0,0,36.52,1.38,0,480.07,6.31,2.73,87.1,18.44,0,0,0.81,3.72,5.2,9.89,1.33,140.8,0,18.3,19.23,502.3,1.81,0.62,12.8,0,1.22,7.34,0,0,0,0,0,47.39,0,0,10.79,0.73,13.88
 72-82,0,0,1.55,0,12.99,10.33,0,182.12,0,5.87,70.25,7.05,0,4.13,10.75,6.54,1.85,0.56,1.85,135.67,0,8.88,24.41,284.75,4.86,7.07,12.2,0,0,25.91,0,0,5.38,0,0,13.28,0,1.28,8.05,2.29,0
 84-94,0,0,0,0,31.25,7.32,0,201.26,1.96,6.39,71.45,13.94,0.76,0,21.02,3.5,5.48,11.34,0.64,144.42,0.58,14.16,25.68,328.68,7.56,5.43,2.12,0,0,8.49,0,0,0,0,0,21.3,1.5,0,12.21,1.77,0
 96-106,0,0,0,0,32.15,14.36,0.56,196.17,2.1,4.91,73.79,10.83,0,4.07,11.1,1.69,8.51,2.85,13.27,125.67,4.78,3.51,18.68,257.2,6.83,8.21,7.65,0,1.44,20.05,0,0,1.88,0,0,12.13,0,2.14,16.01,0,10.5
108-118,0,0,0,0,36.61,13.83,4.41,132.43,1.78,7.34,82.54,8.98,0,0.47,11.63,1.85,1.75,4.51,0.85,95.74,1.01,4.57,24.02,415.29,4.04,4.7,14.2,0,0.95,15.22,0,0,0.45,0.51,0,7.28,0.41,0,26.81,1.93,0.65
120,0,0,0,0,35.25,20.78,0,148.52,0,0,193.18,5.14,0,0,15.36,1.45,15.64,0,3.84,105.67,0,8.22,25.83,431.21,1.4,1.45,4.52,0,0,21.63,0,0,0,0,0,14.82,0,3.74,27.6,3.36,0
