stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,heart,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,vasculature
  3-4,11.48,240.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0
  5-6,10.74,269.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.98,0,0,10.84,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.74,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0.95,0,0,4.9,1.8
 24-34,0,0,0,0.65,0,0,0,0,0,0,1.06,0,0,0,0,0,0,2.84,0,0,0,0,2.93,17.52
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,2.98,0,0,0,0,0.91,17.16
 48-58,0,0,0,0,0,1.19,0,0,0,4.72,0.58,0,0,0,0.58,0.53,0.4,0,0,0,0,2.96,0,24.46
 60-70,0,0,0,0,0,4.08,0,0,0,2.52,0.75,3.59,0,0,0,1.81,0.57,4.32,0,0,0,0,0,24.91
 72-82,0,0,3.82,0,0,3.82,0.53,0,0,7.47,2.27,0,0,0,0.6,0,0,1.77,0,0,0,0,0,44.63
 84-94,0,0,4.29,0,0.84,0.82,0,0,0,17.73,1,0,0.68,0,6.84,0,0,8.64,0,0,0,0,0,47.5
 96-106,0,0,5.47,0.8,0,0.57,2.38,0,0,19.78,2.19,0,0.7,0,0,0,0,7.6,0,0,0,0,0,51.96
108-118,0,0,1.56,0,0,9.5,0,0.57,1,30.91,2.95,0,1.07,0.47,0,0,0.57,10.15,0,0,0,0,0,32.78
120,0,0,1.22,0,0,1.31,0,0,0,37.27,0,0,12.36,0,0,0,0,1.47,0,0,3.12,0,0,76.35
