stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,spinal.cord
  3-4,74.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,108.02,0,0,0,0
 14-21,0,47.22,0,0,0,0,0,0,0,0.93,0.86,1.21,0,0,0,0
 24-34,0,18.07,0,0.64,0,0,0,1.32,0,0.66,0,5.77,2.32,0,0.76,0
 36-46,0,0.84,0,1.35,1.63,1.34,0,0,0,0,0,20.36,0,0,2.54,0.76
 48-58,0,0.55,0,1.9,0,0,0,0,0,0,0,11.32,0,0,0,1.11
 60-70,0,0,0,20.07,0,0,0,0,0,0,0,26.44,0,1.08,0,2.76
 72-82,0,0,0,54.11,0,0,0,0,0,0,0,7.65,0,0,0,0
 84-94,0,0,0,73.9,0,0,0,0,0,2.25,0,8.99,0,0,0,0
 96-106,0,0,5.59,118.93,0,0,0.86,0,0,0,0,8.55,0,0,0,3.09
108-118,0,0,0,92.96,0,0,0,0,0.97,1.75,0,12.2,0,0,14.2,0
120,0,0,0,212.7,0,0,0,0,0,0,0,0,0,0,0,0
