stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,25.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.87,0,0,0,0,0,0,0,0,13.69,0,2.01,0,0,0.81,0,0,3.86,2.01,0.96,0,0,0
 24-34,0,0,0,0.85,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.65,1.98,0,2.38,10.2,0,3.71,2.4,0,0
 36-46,0,0,0.56,0,0,0,0,0,8.68,0.56,0,0,0,0,0,0,0,5.02,2.3,0,0,3.15,0,3.86,0,0,0
 48-58,0,0,0,0,0,0.6,0,0,5.2,0,0,0,0,1.28,4.26,4.01,0.44,0,5.39,0,0,4.44,0,1.26,0,0,0
 60-70,0,0,0,0,0,8.35,0,8.35,7.33,0,0,0,0,9.12,0,1.52,0,0,0.63,0,0,19.77,0,0,7,0,0
 72-82,0,3.96,0,1.12,0,11.67,0,2.6,29.12,0,0.83,1.16,0,4.83,6.94,3.06,0,0,10.93,0,2.86,31.82,0,0,6.02,0,0
 84-94,0,2.65,0,0.86,0,20.42,0,6.32,67.8,0,0,1.12,0,0,0,10.63,0,0,14.66,0,1.44,66.9,0,0,0,0,0
 96-106,0,8.96,0,0,0,26.54,0,2.98,149.44,0,0,0,0.81,12.04,0,13.45,0,0,20.41,0.57,0.95,89.33,0,0,0,0.69,0.8
108-118,0,9,0,0.48,0,7.99,0.45,11.33,205.43,0,0,0,0,0.43,0.66,3.11,0,0,17.66,0,0,94.45,0,2.39,1.13,0,0.88
120,0,29.43,0,0,0,22.5,0,8.29,184.96,0,0,0,0,2.32,1.54,2.48,0,0,72.35,0,0,70.29,0,0,9.72,0,0
