stage,blastomeres,eye,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,spinal.cord
  5-6,8.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,11.6,0,0,4.26,0
 10-12,0,0,0,0,0,0,0,3.73,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.14,0,0,0,0
 24-34,0,0,0,0,0,0,1.04,9.06,0,0,0,1.62
 36-46,0,3.16,0,3.45,0,0.97,0,5.51,0,0,0,5.43
 48-58,0,9.05,0,1.67,0,0,0.73,13.14,0,0,0,0.44
 60-70,0,4.74,0,0,1.6,0,0,2.4,0,0,0,1.09
 72-82,0,10.36,0,1.73,0,0.86,1.24,8.73,0,0,0,0
 84-94,0,0,0,0,0,2.42,0,7.94,0,2.5,0,0
 96-106,0,5.46,2.44,0,0,3.16,0,6.88,2,0,0,0
108-118,0,11.96,0,0,0,3.47,0,7.89,0,0,0,0
120,0,10.19,0,0,0,0,0,6.67,0,0,0,0
