stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,316.35,7125.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,373.57,3703.36,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.16,8.9,0,0,11.61,102,0,0,0,0,0,0,0,0,0,0,0
  7-9,103.78,54.16,126.92,0,0,214.78,0,0,0,0,0,83.94,0,0,0,0,0,0,0,0,0,0,0,1819.02,89.42,0,0,691.9,3.92,41.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,76.44,125.96,0,40.38,232.06,0,0,0,0,0,154.88,0,0,0,0,0,0,0,0,0,0,0,1622.85,60.79,0,0,696.01,4.24,27.2,5.62,60.92,0,21.14,0,0,0,0,0,0
 14-21,0,0,5.78,50.95,17.12,20.08,0,0,0,6.2,5.18,11.83,0,0,2.95,0,0,0,0,24.18,0,0,22.29,439.51,46.41,3.95,3.3,18.54,12.49,1.97,86.05,4.3,3.92,102.12,103.87,0,0,3.78,0,0
 24-34,0,0,1.7,17.84,2.97,76.7,0,0.8,0,5.21,0,0,1.32,0,4.25,0,1.59,3.44,0,54.29,0,0,24.33,694.29,6.95,5.07,6.1,0,15.82,0,1.58,0,0,5.09,128.74,0,0,20.82,0,0
 36-46,0,0,0,5.53,0.79,114.4,0,0,0.73,13.14,0,0,0,0,0,0.74,0,0.57,0,43.83,0.58,0,6.36,325.74,0.72,3.24,0,0,6.28,0,0,0.56,0,0,67.55,0,0,2.71,0,10.63
 48-58,0.77,0,0,19.38,0,143.7,0,0,0.42,9.55,0,0,0,0.76,0,0,0.49,0.99,0.96,30.33,0,0,5.72,173.39,0.79,1.49,0.4,0,4.79,0,0,0,0,0,28.36,0,0,6.55,0,0.68
 60-70,0,0,0,29.38,0,88.14,0,4.81,0,10.86,6.21,0,0,0,12.19,8.98,2.89,0,0,37.68,1.27,0,8.99,107.3,2.43,0,0,0,1.24,0,0,0,0,0,3.59,0,0,2.32,0,0
 72-82,0,0,0,4.9,5.3,48.95,1.32,0,2.22,17.5,1.39,0,0,0.63,0,0,0.99,0,0,36.31,0,9.47,4.32,79.86,0,0,1.05,0,1.08,0,0,1.24,0,0,8.02,0,0,2.8,0,2.21
 84-94,0,0,0,9.4,13.08,39.33,0.91,0,0.61,14.02,2.92,0,0,5.8,1.06,0,0,2.56,0,32.1,0,4.93,11.1,84.78,1.05,0,2.12,0,2.91,0,0,0.78,0,0,0,1.26,0.74,3.19,0,0
 96-106,0,0,0,4.05,0.78,32.44,0.9,1.18,3.82,8.73,5.94,0,0,2.8,0,0,1.94,9.04,0,28.42,0,0.85,5.22,105.8,0.77,1.63,2.31,0,2.23,0.64,0,0,0,0,6.91,0.64,0,3.55,0,0
108-118,0,0,0.49,10.91,12.94,30.05,0.59,1.58,0.82,24.73,0.81,0,0,0.97,0.72,0.41,2.23,4.8,0,29.33,0,1.48,6.39,129.26,1.18,0,4.24,0,1.07,0.48,0,0,0,0,12.36,1.3,0.53,5.02,1.17,0
120,0,0,0,17.85,7.32,22.9,0,4.03,4.44,23.61,0,0,0,1.85,0,0,9.4,0,0,24.24,1.59,0,9.91,302.34,1.8,5.37,0,0,6.03,0,0,0,0,0,29.96,0,0,5.75,0,0
