stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.37,0,0,0,0,14.79,0,0,0,0,0,0,0,0,0,0.85,3.1,0,0,4.11,10.46,8.76,4.49,0,0.99,0,0,0,1.12,1.01,7.88,0,0,0,0,1.33
 24-34,0,2.35,2.4,1.6,0,55.59,0,83.11,0.67,0,0,0,0,0,0,0,0,32.45,23.02,0,0,0.99,293.24,1.32,98.5,0.73,0,0,0.67,0,0.6,5.11,57.77,0,0,8.36,0,0
 36-46,0,0,31.55,0,0,57.68,0,31.97,2.25,4.59,0,0,0,0,0,0.8,0,146.05,33.6,0,0,1.69,913.89,0,84.12,0,0,0,0,0,0.64,0,102.08,0,0,0.99,0,0
 48-58,0,0,9.15,0,0,123.75,0,19.12,0.54,11.18,0,0,0,0,4.04,0,0,68.71,31.76,11.47,0,0.61,1756.2,5.81,57.73,0,0,0,9.52,0,0.41,0,108.77,0,0,0,0,9.96
 60-70,0,1.93,20.04,0,0,481.06,0.68,1.53,0,9.02,0,0,7.85,0,7.13,0.65,0,54.56,33.13,0,0.62,2.54,3805.16,0,78.46,0,0,0,3.6,0,0,0,186.66,0,0.61,2.92,1.54,11.13
 72-82,0,2.43,14.52,0.54,0,1562.88,8.4,0.78,11.04,74.27,3.27,0.66,0,0,8.74,0.63,0.96,22.86,39.38,0,1.02,3.01,6058.07,0,80.32,0.75,0,4.29,8.17,0,0,0,189.66,0,0,0,0.79,4.97
 84-94,0,1.4,21.04,6.99,0.92,1386.14,5.67,7.1,0,64.19,0.89,0,0.64,0.6,8.34,0.69,0,70.21,42.43,0,2.28,5.43,4536.54,0.65,92.62,16.93,0,6.05,4.8,0,0,0,97.81,0,0,0.8,0,5.87
 96-106,0,3.53,29.4,19.04,0,2185.22,0,11.13,1.36,116.93,5.82,0,0.96,0,3.04,0.97,0,45.83,52.19,5.05,7,3.57,4611.82,0,153.26,7.65,0,1.51,19.54,0,0.85,0,108.74,0,0,8.01,4.12,12.06
108-118,0,6.77,63.34,21.92,0,2121.08,0,4.78,5.07,110.73,1.22,0,3.69,1.01,12.47,0,0.56,82.63,52.17,2.49,6.71,4.08,5006.55,0,107.99,5.57,0,0.89,9,0,0,0,82.74,6.03,0.99,7.66,0.65,27.01
120,0,10.25,110.51,0,13,2346.82,58.93,0,0,198.54,0,0,6.37,2.99,21.73,0,19.69,14.28,146.85,2.91,0,5.72,9815.32,0,181.11,2.75,0,0,4.98,2.39,1.63,0,118.89,0,0,2.77,0,1.16
