stage,blastomeres,epidermis,eye,fast_muscle,glial,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature
  3-4,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0
 24-34,0,0,1.95,0,0,0,1.97,1.31,13.03,0,0.96,1.5,0,0,2.12,3.36,0
 36-46,0,0,0,0,0.78,0,0.67,0,24.07,0,0,4.34,0,0.65,0.63,5.46,0.83
 48-58,0,0,1.03,0.94,2.54,0,0,0,3.22,0,1.46,0,0,3.25,11.02,2.07,0
 60-70,0,10.85,0,0,0,0,0.83,0,1.46,1.83,11.89,0,0.96,0,0,0,0
 72-82,0,0,5.12,0,9.48,0.82,0.66,1.55,11.5,0,11.78,0,0,0,0,4.14,0
 84-94,0,0,0,0,0.84,0,4.18,0,6.07,0,0.91,0,0,0,0.93,4.04,0
 96-106,0,0,0,0,4.33,1.39,0,0,11.7,0,16.65,3.29,0,0,0,6.21,0
108-118,0,0,0.89,0,0.51,1.29,2.15,0,15.51,0,1.1,4.18,0,0,0,1.38,0
120,0,0,0,0,6.87,1.54,0,0,0,0,10.77,0,0,0,1.87,0,0
