stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,78.5,1530.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0
  5-6,107.29,1253.71,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88,0,0,0,0,19.68,0,0,0,0,0,0,0,0,0,0
  7-9,20.6,40.97,0,12.36,0,0,0,117.33,0,0,0,0,0,30.14,0,0,0,0,0,0,0,0,0,0,0,480.19,30.04,0,0,173.78,0,4.58,0,0,0,0,0,0,0,0,0
 10-12,0,5.48,0,47.58,0,0,0,39.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.56,8.14,0,0,136.47,0,20.4,0,43.68,0,0,0,0,0,0,0
 14-21,0,0,0,1.49,15.99,10.95,0,4.98,0,0,0,23.2,0,0,0,0,0,0,0,2.09,0,17.09,0,0,7.2,83.81,22.07,0,4.2,6.2,4.52,5.68,19.65,38.92,6.4,19.15,106.07,0,0,0,0
 24-34,0.88,0.83,0,0,6.5,0,0,9.59,2.28,0.62,0,15.28,1.31,0.81,0,0,0,0,2.06,0,0.64,19.74,0,0,6.66,118.86,1.64,0,2.21,0,6.49,0,0.93,34.2,0,4.55,65.88,0,0,3.3,2.35
 36-46,0,0,0,0,3.03,0,0,5.38,0,0,0,3.92,2.53,0,0,0.65,0,0,0,0,0.74,2.27,0,0,4.43,22.81,0,2.62,10.76,0,2.82,0,0,8.77,0,0,13.65,0,0,0,0
 48-58,0,0,0,0,0,0.47,0,42.86,0,1.27,3.54,10.25,0,0,0,0.4,0,0.92,0,0,1.11,20.38,0,1.34,3.17,50.63,0.56,0.86,0.52,0,2.09,0,0,13.24,0,0,26.28,0,0,0.93,12.19
 60-70,0,0,0,0,0,0.95,0,33.81,0,0.87,6.19,15.05,0,0,0.69,0.96,0,0,0.57,0,11.87,16.87,0,0,1.16,29.43,0,4.56,0.6,0,0.79,0,0,2.06,0,0,5.86,0,0,0,3.9
 72-82,0,0,0,0,0.67,0.59,0,3.57,0,0,0,11.78,0,0,0,0.9,0.63,0,1.91,0,0,8.76,0,0,0.84,17.48,0,2.05,3.57,0,1.35,0,0,1.15,0,0,11.4,1.36,0,0,8.17
 84-94,0,0,0,0,1.19,3.05,1.06,5.43,1.17,0.78,0,17.81,0,2.11,1.06,0.83,2.71,0,3.14,1.44,3.81,16.1,0,0,4.35,10.21,0.65,10.16,2.07,0,8.07,0,0,4.59,0,0,7.07,0,1.41,1.83,2.56
 96-106,0,0,0,0.64,1.72,2.26,0,6.99,0,0,0,15.73,0,0,0,2.34,0.81,0,2.97,0.59,0,9.73,0.77,0,2.5,8.08,0,12.19,6.37,0,3.71,0,0,1.28,0,0,0,0,0,0,3.51
108-118,0,0,2.07,1.24,1.01,6.58,0,9.73,0,1.34,2.73,14.99,2.72,0,0,1.65,1.41,1.4,2.71,2.48,7.93,18,0,1.52,4.11,18.4,0,8.68,9.7,0,3.04,0,0,2.5,0,0,6.46,0,0,3.26,4.51
120,0,0,0,0,3.3,2.97,0,9.3,0,1.93,3.73,16.32,0,0,0,15.73,0,0,1.15,0,0,14.63,0,0,13.95,42.22,0,15.9,0,0,8.86,0,0,4.64,0,0,2.98,0,0,4.66,3.63
