stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,378.14,6115.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.53,0,0,0,0,0,0,0,0,0,0
  5-6,424.84,5415.28,0,9.08,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,130.88,0,0,0,35.34,0,694.52,0,0,0,0,0,0,0,0,0,0
  7-9,41.11,26.97,0,124.64,0,0,36.7,0,0,0,0,59.81,0,0,0,0,0,0,0,0,0,0,768.11,9.5,0,0,186.04,0,61.25,22.19,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,0,91.9,0,34.79,37.56,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,913.66,38.07,0,0,132.91,0,13.03,12.44,4.43,11.27,0,0,0,0,0,0,0
 14-21,0,0,0,7.95,130.69,23.05,3.55,0,0,0,5.08,0,0.96,0,1.15,0,0,0,15.56,0,0,4.81,34.37,1.88,4.87,4.64,0,0,19.32,0,4.89,72.11,10.07,5.15,10.52,0,4.65,0,0
 24-34,0,0,0,5.95,44.47,3.52,2.62,7.67,0,1.18,0.74,0.66,0,0.6,7.51,3.21,0.65,0,9.76,8.66,0,2.1,51.46,0,1.49,7.5,0,0,59.33,0,2.17,45,0,2.55,6.46,0,7.57,0,0
 36-46,0,0,0,0,35.68,0,5.22,1.31,1.21,0.7,0.66,0,0,0,24.78,2.54,0,0,5.92,0.63,0,3.04,33.37,0,1.19,5.93,0,0,85.27,0,0,12.97,0,0,1.6,0,7.32,0,3.72
 48-58,0,0,0,0,29.54,0,10.67,2.46,4.2,0,6.64,11.2,2.08,0,1.95,4.89,0,2.11,7.18,1.91,0,0,32.6,0,0,6.05,0,0,50.78,0,0,6.69,0,0,2.24,0,6.2,0,6.93
 60-70,0,0,0,0,36.44,0.6,32.45,16.56,6.01,0.77,4.56,0,0,0,0.59,11.15,0,4.77,10.95,5.78,0.89,0.82,42.11,0,0,7.22,0,0,82.91,0,0,7.87,0,0,0.93,6.31,12.67,2.15,0.91
 72-82,0,0,1.18,0,18.46,0,17.12,3.42,0,3.22,10.99,2.11,2.05,0,3.07,9.37,10.42,0,4.34,6.15,0,1.27,29.83,0,0,10.8,0,2.36,51.13,0,0,3.73,0,0,0.95,0.79,20.71,0.56,1.32
 84-94,0,0,0.66,0,64.53,0,12.74,7.59,11.44,0,27.31,1.2,8.61,0,7.81,8.2,0.82,0,4.96,10.74,0,0.83,7.29,0,3.53,10.05,0,0,177.43,0,0,2.95,0,0,0,8.69,21.49,0,0
 96-106,0,0,0.95,4.93,64.03,2.32,32.37,9.74,0.85,3.35,20.71,0,0,0,9.29,14.34,0,1.34,6.51,16.29,0,0,20.74,0.75,9.91,6.48,0,0,148.31,0,0,2.95,0,0,0,8.14,22.98,7.69,1.19
108-118,0,0,0,2.2,67.76,1.44,14.36,11.79,2.41,1.58,23.32,0,2.48,0,14.62,10.36,6.48,0.68,9.97,13.55,0,1.07,11.22,0,5.78,6.14,0,0.91,99.2,0,0,4.43,0,0,0,9.14,27.54,4.15,10.97
120,0,0,0,0,91.18,0,0,19.17,0,0,13.7,0,0,0,9.47,5.68,0,0,22.8,2.82,0,0,13.06,0,1.57,1.12,0,0,72.9,0,0,3.2,0,0,0,9.6,31.44,1.59,10.21
