stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  3-4,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86,0,0,0,0,0,0,0,0
 14-21,0,0.86,1.07,0,0,0,0,0,0,2.36,1.46,0,0,0.82,0,0,0,6.09,0,1.08,0,0,4.1,0,1,0
 24-34,0,13.91,0,0,0.61,0,0,0,0,0,0,0,1.23,5.42,0,0,2.39,16.65,0.61,0,0,0.74,0,0.72,1.42,0
 36-46,0,23.1,0,0,0,0,0,0.71,0,0,0,0,0.67,5.01,0,0,1.62,1.77,0,0,0,0,0,0,0.66,0
 48-58,0,21.21,0,0,0.76,1.19,4.46,0,2.46,0,0,0,0,5.67,0,0,2.2,2.43,0,0,0,0,0,0,0.42,0
 60-70,0,50.09,0,0,1.52,0,4.72,0,0,0,0,0,0,11.09,2.18,0,0.96,12.66,0,0,0,0,2.59,0,0,0
 72-82,0,18.83,0,0,4.57,0,5.56,0,0.89,0,0,0,0,12,0,0,0.71,5.92,0,0,6.03,0,0,0,0.8,2.1
 84-94,0,21.66,0,0,0,0,3.12,0,0,2.81,0,0.68,0,13.3,0,0.73,0,4.76,0,0,0,0,0,0,4.39,0
 96-106,0,7.82,0,1.05,1.62,0,0.81,0,1.14,0,0,0,0,13.85,1.65,0,0,1.77,0.81,0.66,2.18,0,0.57,0,0,0.69
108-118,0,25.43,0,0,0,0,6.3,0,0,0,0,0.93,0,11.96,0,0,0,4.53,0,0,1.85,0,1.16,0,0,0
120,0,53.33,0,2.02,0,0,10.73,0,0,0,0,0,0,0,0,0,4.8,17.62,0,0,0,0,3.31,0,0,0
