stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,151.29,3405.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.93,0,0,0,0,0,0,0,0
  5-6,105.85,1822.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.56,17.23,0,0,10.03,44.93,0,0,0,0,0,0,0,0
  7-9,27.44,20.28,13.05,0,0,12.73,0,0,0,11.94,0,0,0,0,0,0,419.62,23,0,0,132.34,0,19.01,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,0,0,0,0,14.47,0,0,0,0,0,0,109.25,4.18,0,0,50.23,0,9.06,0,0,0,0,0,0,0
 14-21,0,0,0,4.14,0,0.99,0,0,0,1.19,2,0,0,0,1.04,4.58,29.86,1.65,0.86,0,0,0,2.39,3.04,0,1.46,5.13,6.7,0,0
 24-34,0,0,0,0.62,1.27,0,0.74,0.8,0,0,0,0,0,0,4.23,2.51,15.91,0,1.47,0,0,0.62,0,0,0,0,0,7.91,0,0
 36-46,0,0,0,0.58,0,0,1.17,0,0,0,0,0,0,0,8.18,0.68,12.72,0,0,0,0,2.56,0,0,0.59,0,0,0.56,0,0
 48-58,0,0,0,0,0,1.63,0,4.25,0.97,0,0,0,0,0,4.99,0,13.79,0,0,0.4,0,1,0,0,0,0,0,3.07,0.4,0
 60-70,0,0,0,0,0,10.12,1.49,1.6,0,0,0,1.03,0,0,3.39,1.83,19.61,0,0,0,0,0,0,0,0.64,0,0,1.77,0,0.82
 72-82,0,0,0,0,0,8.98,1.47,0.85,0.54,0,0,0,0,0,3.89,0,17.28,0,0,0,0,0,0,0,3.73,0,0,2.02,0,0
 84-94,0,0,0,0,0,3.26,1.18,0,0,0,0.58,0,0,0,2.23,2.06,7.98,0,0,0.89,0,5.44,0,0,1.21,0,0,0,0,0
 96-106,0,0,0,0,0,15.88,0,1.76,0,0,0,0,1.58,0,1.7,0,4.8,0,0,0,0,0.74,0,0,0,0,0,0,0,0
108-118,0,0,0,0.58,0,16.22,0,0,0,0,0.46,0,0,0,2.96,0,4.86,0,1.48,0,0,1.69,0,0,0.59,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,2.13,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
