stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,102.07,3359.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.3,0,0,0,0,0,0,0,0
  5-6,31.95,610.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.49,0,0,0,0,422.68,0,0,0,0,0,0,0,0
  7-9,0,4.85,0,19.19,0,0,0,43.53,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0,0,709.4,0,0,0,51.68,117.95,62.35,0,0,0,0,0,0,0
 10-12,0,0,0,38.68,0,7.16,0,14.97,0,0,0,0,0,28.39,0,0,0,0,0,0,0,0,0,715.28,4.45,0,0,46.78,33.74,47.57,0,0,0,0,0,0,0
 14-21,0,0,0,9.62,266,0,0,4.01,0,2.58,0,1.25,12.23,0,0,23.08,0,2.49,0,1.78,1.09,0,0,20.47,3.71,4,21.21,0.82,406.77,1.1,2.93,2.54,0.89,0,0,0,0
 24-34,0,0,1.46,3.02,31.92,0,0,6.93,0,2.29,0,0,2.53,0,0,19.78,0,6.43,0.65,9.29,11.24,0,1.03,58.52,1.65,32.86,14.89,0,500.99,0,0,7.97,4.59,0,0.76,0,0
 36-46,0,0,0,0.84,5.52,10.47,0,2.11,0,4.01,0,0,4.25,4.4,0,9.31,0,5.4,0,0.9,6.38,0,0.73,106.21,5.82,24.85,12.27,0,651.11,1.85,0,7.83,1.45,0,4.58,0,0
 48-58,0,0,0,0,32.59,0,0,4.37,0,5.5,0,4.18,0.41,13.44,0,8.99,0,7.34,1.68,2.36,7.65,0,0.51,63.48,2.02,23.02,8.2,0,284.65,0,0,0.99,10.23,0,0,0,0
 60-70,0,0,10.91,0,34.45,0.64,0,13.87,0,8.35,1.71,1.42,0.61,6.22,0,14.34,0,4.79,0.69,13.2,9.74,0,0,50.98,1.33,14.16,10.18,0,335.85,0,0,6,2.9,2.3,1,0,3.09
 72-82,0,0,1.95,0,38.94,0,0,16.94,0.95,11.53,0,1.64,15.2,4.2,6.83,19.89,0,8.65,0.79,2.93,15.03,1.11,0,66.46,1.95,44.67,27.51,0,348,0,0,0.76,6.81,9.08,2.91,0,0
 84-94,0,0,3.34,1.04,94.51,3.1,0.92,27.55,0,15.38,0,4.4,30.06,8.25,0.69,32.88,0,9.49,2.03,5.27,43.88,0,0,10.18,1.24,50.87,29.2,0,811.88,0,0,3.71,0,13.38,0,0,0
 96-106,0,0,7.87,0,151.46,1.56,0.98,45.03,0.9,17.52,0,6.77,32.81,1.32,3.27,50.46,0,20.12,14.51,7.4,53.74,0,2.92,69.21,3.74,78.76,42.06,0,813.81,0.76,0,1.27,0,45.32,5.99,5.11,12.89
108-118,0,0,3.3,1.91,201.68,7.19,8.49,16.4,0.76,32.98,1,1.03,48.31,0,1.25,43.28,1.25,8.82,7.04,20.94,47.3,0,1.41,69.47,5.75,46,42.22,0,736.21,0,0,1.96,1.77,62.28,0.93,0,0.92
120,0,0,3.64,3.17,182.56,0,0,6.95,0,17.86,0,0,55.05,0,2.59,28.32,0,20.25,16.18,3.97,50.46,0,0,37.52,7.36,32.33,37.93,0,445.57,0,0,0,0,24.36,5.34,0,0
