stage,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm
  7-9,0,0,0,0,11.93
 24-34,0.68,0,0,0,0
 36-46,0,0,3.45,0,0
 60-70,0,2.25,0,1.42,0
120,0,0,16.31,0,0
