stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.89,13.28,0,0,0,5.41,0,0,0,0,0,0,0
 14-21,0,0,0,1.65,5.09,1.23,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,13.91,0,0,0,0,7.87,0.9,4.8,2.58,0,0,0,0
 24-34,0,0,0,0,1.28,0,0,2.51,0,0,0,0,0,0,0,0,0,0,1.64,0,0,5.95,38.99,0.7,1.71,0,0,9.74,0,1.45,1.16,0,0.6,0,0
 36-46,0,0,0,0,7.72,0,0,3.97,1.53,0,3.26,0,0,0,0,0,0,0.99,1.99,0,0,0.75,28.53,0,0,0,0,7.28,0.6,0,1.53,0,0,0,0
 48-58,0,0,0.44,0,3.56,0,0,12.62,0,0,4.64,0,0,1.54,0,0,3.99,0,6.6,0,0,1.57,24.48,0,0,0.38,0,2.95,0,0,2.53,0,1.42,0,0
 60-70,0,0,0,0,1.63,0,0,5.55,0,0,6.18,0,0.72,0,0.6,0,0,0,20.08,0,1.34,1.06,12.48,0,0,0.77,0,2.18,1.06,0,3.07,0,0,0,0
 72-82,0,0,0,0,3.99,5.25,0,5.09,0,1.73,16.97,0.82,0.69,0,1.37,0.79,0,0,29,0,0.65,1.61,14.46,0,1.04,1.01,1.31,8.95,0,0,2.45,0,0.59,0,0
 84-94,0,0,1.16,0,7.74,0,0,5.6,0.59,0,10.76,0,0,0.92,0,0,2.46,0,38.47,4.96,2.05,8.75,16.7,0,0,1.78,0,21.17,1.56,0,10.2,2.26,7.15,4.59,0
 96-106,0,0,0,0,9.2,0,0,6.81,1.83,0,10.39,1.02,0,3.48,0.81,0,2.04,0,37.29,0.69,0,4.11,17.67,0,1.24,1.77,0,13.72,0,0,0,0.67,2.78,2.13,7.44
108-118,0,0,0,0,6.68,0,1.14,3.52,0.91,0.71,5.61,2.38,1.69,1.64,0.47,1.02,0.75,0,38.25,0,3.28,4.47,17.28,0,0,8.72,0.92,16.35,0.98,0,0.9,0.46,1.52,2.16,0
120,0,0,4.41,0,7.43,0,0,13.31,1.72,0,7.81,7.05,3.58,0,0,0,0,0,87.55,0,12.82,2.22,14.99,0,3.14,0,0,6.54,0,0,2.14,0,3.32,15.37,2.08
