stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,mural_cell,neural,notochord,periderm,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,2.39,0,0,0
 24-34,0,0,0,0,0,0.61,0,0,0,0,7.88,0,0.97,0.77
 36-46,0,0,0,4.4,0.63,0,0.56,0,0.72,0,8.96,0,0,0
 48-58,4.82,0,0,0,0.72,0,0,0,2.25,0.46,6.6,0.71,0,2.24
 60-70,0,2.23,0,0,1.74,0,0,2.64,1.79,0,3.3,0,0,0
 72-82,0,5.06,0,0.75,0,0,0,0,2.61,0,8.44,0,0,0
 84-94,0,0,0,0,0.56,0,0,0,0.6,0,7.82,0,0,0
 96-106,0,1.22,0,0,1.04,0,0,0,3.25,0,2.05,0,0,0
108-118,0,0,0,0,0,0,1.12,0,2.65,0,1.65,0,0,0
120,0,0,19.53,0,0,0,0,0,0,0,0,0,0,0
