stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19,0,0,0,8.86,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,9.94,0,0,0,0,6.3,0,5.01,2.95,0,0,0,0,0
 24-34,0,1.1,0,0,0,0,0.65,0,0.62,0,0,0,0,0.71,0,0,0,0,1.34,0,1.92,27.74,1.75,3.21,0,0,9.75,0,0,5.5,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.02,0.62,0,1.85,0,0,0.93,0.65,0,0,0,0.57,3.46,1.5,1.94,87.52,0,2.64,0.81,0,13.94,0,0,26.31,0,0,1.85,0,9.59
 48-58,0,0,0,0,0,0,14.25,0,0.37,7.52,0,0.48,0,0,0.49,2.19,0,1.98,3.71,0,0.4,74.05,0.88,0,0,0,3.53,2.71,0,6.18,0,0,0,0,6.5
 60-70,0,0,2.79,0.63,0,0,47.44,9.34,0,10.4,0.65,0,0.93,3,0,0,0,4.22,9.63,0,0.6,85.73,0,1.09,0,0,5.54,0,0,4.62,0,1.77,0,1.92,0
 72-82,0,0,0,1.03,0,0,27.93,0,0,6.81,0,0,0.51,1.67,0,0,0,9.13,3.17,0,0,52.3,0,0,0.79,0,3.24,1.31,0,15.29,0,0,1.55,0,0
 84-94,0,0,0,2.11,0.56,0,44.46,0,0.78,4.67,0,0,0,1.56,0,0,0,0,7.39,1.73,0,54.89,0,0.76,0,0,14.88,1.71,0,1.26,0.56,0.71,3.67,0,0
 96-106,0,0,0,0.8,0,0,14.59,1.21,0,2.11,0,0,0,0,0,0,0,9.67,4.31,0,0,36.91,0,0.94,0,0,4.6,0,0,0,0,0,0,1.25,0
108-118,0,0,0,3.26,0,0.56,14.48,0,0,0.79,1.71,0,0,1.25,0.55,0,0,0,11.33,0.54,0,35.67,0,0.88,0,0,10.42,1.69,0,2.68,0,0,0,0,0
120,0,0,0,1.7,0,0,17.41,0,0,16.1,0,0,0,2.53,0,0,2.53,0,0,0,0,23.46,0,0,0,0,2.18,0,0,2.04,0,0,0,0,0
