stage,blastomeres,epidermis,eye,glial,heart,lateral.line,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,218.13,0,0,0,0,0,0,0,0,17.06,0,0,0
  5-6,38.57,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.4,0,0,0,0,0,7.24,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.63,0,0,0,0,0
 14-21,0,3.97,0,0,0,0,0,4.37,0,4.3,0,0,0
 24-34,0,0.62,0.65,0,0,0,0,15.67,0,0.6,0,0,0
 36-46,0,1.28,0,5.21,0,0,0,13.81,0,5.99,1.01,0,0
 48-58,0,1.16,0,0.84,0,0,5.31,17.37,0,0,2.53,0,0
 60-70,0,0,0,0,0,0.66,0.71,4.93,0,0,1.33,0,0
 72-82,0,0,5.02,1.91,0,0,0,4.61,0,0,0,4.86,3.44
 84-94,0,0,1.17,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,4.55,0,0,0,0,0
108-118,0,0.45,4.57,1.82,0,0,0,2.71,0,2.43,0,0,0
120,0,3.71,0,0,4.47,0,0,18.27,0,10.41,0,0,0
