stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35,17.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.92,0,19.74,0,0,7.39,0,0,0,0,17.4,0,0,0,0,0,0,0,0,162.15,0,0,0,51.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.9,0,32.98,0,5.34,69.75,0,0,0,0,0,0,0,0,0,3.73,0,0,0,802.77,51.08,0,0,110.79,0,0,0,0,43.75,0,0,0,0,0,0,0
 14-21,0,0,0,4.12,7.82,26.02,10.96,1.36,0,126.79,0,0,0,0,0,0,3.37,10.92,0,1.81,172.27,5.51,3.28,26.45,25.76,0,0,0,21.59,132.07,4.22,403.2,0,0,0,0,0
 24-34,0,0,0,0,7.22,0,3.77,0,2.65,153.21,0.73,0,0,0,3.74,1.38,5.54,12.4,0,1.88,106.57,1.41,21.73,4.61,0,0,2.61,0,0,213.93,5.82,367.46,0,0,0.68,0,0
 36-46,0,0,0,0,14.61,0,8.63,1.17,1.5,108.08,0.61,0,0,0,0,0,0,3.92,2.7,1.18,107.73,0,28.47,26.46,0,0,0.81,0,0,136.58,0.7,204.66,0,0,0,0,0
 48-58,0,0,0,0,0.43,0,33.08,0.54,3.61,149.1,0,0,0,0,0,6.01,0,5.77,0,0.6,94.17,0,30.17,21.35,0,0.61,0,0,0,61.45,0,179.23,0,0,0,0,5.75
 60-70,0,0,1.14,0,5.38,0,40.73,0,16.93,153.87,0,0,0,0,0.61,26.57,0,5.61,4.6,0,87.48,0,47.56,32.04,0,3.67,3.12,0,0,32.77,0,150.46,0,0,1.05,2.76,0
 72-82,0,0,2.35,0,0.51,0,34.69,1.27,5.73,123.71,4.37,0,0.89,3.38,0,23.81,0.81,7.65,8.56,0.5,65.24,0,64.41,42.58,0,0.71,0,0,0,13.79,0,94.68,0,0,1.81,1.99,0
 84-94,0,0,4.98,2.02,1.01,0,74.37,0,5.76,131.86,4.08,0,0,0,0.67,14,0,2.7,4.98,0,58.23,0,57.12,56.79,0,0.6,0.8,0,0,36.38,0,101.77,1.17,0.71,0,0,0
 96-106,0,0,2.05,4.22,0,0,29.18,2.07,4.67,86.78,1.06,0,0,0,0.95,31.95,0,11.6,2.36,0,43.68,0.58,97.36,77.11,0,1.6,0.68,0.64,0,20.72,0,93.68,0,0,0,1.84,0
108-118,0,0,0,1.66,4.48,7.12,24.35,0,2.72,63.02,6.41,0,0,0,3.3,20.87,0,2.28,4.68,0,51.96,0,75.93,77.19,0,0,0,0.79,0,20.38,0,47.54,0,0,1.91,2.3,0
120,0,0,0,0,6.24,0,15.87,0,0,88.37,2.51,0,0,0,0,40.8,6.32,3.87,18.53,0,82.3,0,58.8,129.03,0,0,0,0,0,34.5,0,88.4,0,1.56,1.25,0,0
