stage,blastomeres,erythrocytes,eye,glial,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,208.16,0,0,0,0,0,0,0,0,0,11.27,0
  5-6,51.25,0,0,0,0,12.01,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.37,4.29,0,0,11.47,0,0
 24-34,0,0,0,0,1.02,1.73,0,0,0,0,0,0.73
 36-46,0,0,0,0,0,0.69,0,0,0,0,0,0
 48-58,0,0,0.75,0,0.49,0.84,0,0.47,0,0,0,0
 60-70,0,0,0,0,0,3.27,0,0,0,0,0,0
 72-82,0,5.31,5.34,1.39,0,9.24,0,0,0,0,0,2.43
 84-94,0,0,1.08,0,0,7.55,0,0,0,0,0,0
108-118,0,0,0,1.67,0,1.59,0,0.43,0.87,0,0,0
120,0,0,0,0,0,17.45,0,0,0,0,0,0
