stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,12.08,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.85,3.04,0,0.9,0,0,0,0,0,1.51,0,0,1.98,0,0,0,0,0,0,18.26,0,0,0,0,0,0,0.81,0,0.88,0,0,0,0,0
 24-34,0,1.47,0,0,0.68,0,0,0,0,0,1.42,0,0,24.66,0,1.41,0.76,0,0,0,45.83,0.63,3.41,7.68,0,0,0,0,0,6.47,0,0,19.82,0,0.89
 36-46,0,0,0,0,0,0,0,0,0,0,3.37,0,0,47.47,0,5.76,4.25,0,0,5.88,96.97,0,8.31,26.01,0,0,0,0,0,15.14,0,0,21.83,0,0
 48-58,0,3.1,0,0,9.19,0,0,5.8,0,0,32.5,0.78,0,25.07,0,3.66,10.81,0.93,0,9.96,56.67,0,1.34,14.81,6.64,0,0.59,0,0,4.02,0,0,26.15,0,0
 60-70,0,9.77,0,0,1.74,0,0.81,5.63,0.91,0,107,0,0,27,0,8.94,7.18,0,0,20.5,204.43,0,0.6,0.65,0,0.63,1.99,0,2.58,1.75,2.74,0,17.26,0,3.96
 72-82,8.2,29.28,27.98,0,25.11,0.56,0,74.24,8.6,0.7,507.64,5.27,0,37.32,0,2.74,86.32,0,0,16.25,375.99,0,0,9.42,0,15.05,1.83,0,0,6.95,4.72,0,97.55,1.05,0
 84-94,6.67,38.7,1.22,0,23.77,0,0,66.64,9.86,3.61,611.23,2.62,4.09,87.23,0,27.79,49.93,0,1.13,24.12,545.76,0,0.87,12.36,0,0,5.49,0,0,4.15,21.8,1.31,53.54,0,0
 96-106,9.14,45.12,5.59,0,40.11,0,1.04,90.93,8.96,2.38,1198.15,7.47,0,92.77,11.62,3.39,91.97,0,3.08,59.63,714.1,0.57,1.84,29.34,0,2.17,11.48,0,0,0,55.44,0,33.21,5.42,8
108-118,1.18,84.74,12.97,0.46,23.04,3.03,2.5,172.36,19.43,10.98,1294.39,0.68,0,107.87,3.24,0,125.09,0,1.38,43.15,637.61,0,7.18,8.9,0,2.29,7.45,0.61,0,5.39,45.55,0,56.9,2.94,0
120,0,128.51,9.79,0,90.56,0,7.65,237.74,9.58,0,3404.58,10.21,0,119.75,3.09,0,177.76,0,0,33.63,915.92,0,16.55,11.22,0,0,1.24,0,0,19.1,41.72,0,52.08,4.27,0
