stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,0,89.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,65.81,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0
  7-9,0,0,3.56,0,0,0,0,0,0,0,0,0,30.99,0,3.3,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.31,0,0,0,14.57,0,3.84,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.8,0,0,7.13,0,0,0,2.88,4.35
 24-34,0,0,0,0,0.63,0,0,0,0,0,0,1.03,22.08,0,0,0,4.96,3.53
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,20.15,0,0,0,3.9,2.71
 48-58,0,0,0,0,0.39,0,3.17,0,0,0,0,0,64.89,0.6,0,0,6.2,5.11
 60-70,0,0,0,0,18.53,0,8.92,0,0,3.12,0,0,101.5,0,0,0,16.66,3.45
 72-82,0,0,0,3.14,23.33,0,15.26,0.51,0,7.27,1.51,0,149.91,1.11,0,0,13.94,0.94
 84-94,0,0,0,0,13.9,0,2.74,0,0,3.1,13.81,0,59.71,0,0,1.81,22.24,7.76
 96-106,0,0,0,2.6,14.44,0.66,24.02,0.81,0,8.2,2.61,0,94.92,1.13,0,1.17,23.85,0
108-118,0,0,0,0,3.55,0,9.43,0,0,2.41,2.81,0,70.66,0,0,0.98,11.36,2.85
120,0,0,0,0,5.25,0,17.71,0,0,7.64,0,0,97.31,0,0,3.72,8.12,0
