stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,70.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.9,0,0,0,0,0,0,0,0,0
  5-6,62.13,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.32,0,0,0,0,0,0,0,0,0
  7-9,11.92,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,3.69,0,14.84,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.72,0,0,0,14.11,0,9.9,0,0,0,7.48,0,0,0,0,0
 14-21,0,0,0,255.84,66.81,0.85,0,0,0,0,2.73,0,2.72,0,0,0,50.94,0,0,52.39,38.83,0,0,0,1.19,0,41.63,2.6,0,1.23,26.12,23.92,0,0,6.23,0
 24-34,0,0,0,29.62,46.18,5.18,3.38,3.28,2.69,0.63,5.6,0,3.95,1.08,0,0,57.6,0.85,0,19.33,231.38,0.64,0.77,0.69,0,0,106.73,0,0,0,0.8,28.14,0,0,30.84,0
 36-46,0,0,0,19.92,5.32,58.5,17.2,3.35,0,0,25.56,0,1.77,0,0,0,19.49,0,0,6.33,302.83,0,0,0,0,0,73.56,0,10.34,0,0,52.9,0,0,14.81,0
 48-58,0,0,0,17.92,2.42,81.69,10.32,2.24,1.3,0,10.95,0,0,0,0,0.41,11.84,0,0,3.85,165.33,0,0,0,0,0,36.65,0,0,0,0,13.26,0,0,1.64,0
 60-70,0,0,0,13.58,0.58,123.89,7.89,1.84,1.32,0,27.04,0,2.54,0.67,0,0,32.32,0,10.37,4.03,132.19,0,0,3.85,0,8.86,24.23,0,0,0,0,7.29,0,0,5.7,0
 72-82,0,3.72,0,2.12,12.1,67.81,8.67,0,0,0,6.02,0,1.73,0,0.96,0,15.27,0,0.63,6.11,99.6,0,0,0,0,13.4,12.58,0,0,0,0,2.27,0.94,1.96,9.47,0
 84-94,0,8.22,0,15.14,3.69,88.31,8.73,0,2.06,1.25,8.63,2.93,0,1.45,0,0,12.43,0,4.62,0,76.71,0,0,0,0,9.52,28.16,0,0,0,0,0,0.6,0,14.15,4.78
 96-106,0,4.99,0,5.33,12.11,103.66,6.92,0,5.53,0,15.08,2.55,0,0,0,0,23.68,0.68,0,15.96,29.11,0,0.57,0,0,33.58,12.82,0,0,0,0,2.89,0,2.7,5.69,2.52
108-118,0,7.96,0,12.84,3.83,140.71,4.81,0,3.55,0,8.79,0.88,0,0,0,0,24.25,0.93,1,5.28,65.31,0,0,0,0,19.47,22.63,0,0,0,0,0,0,1.41,5.41,0
120,0,12.63,0,15.2,23.77,85.06,7.41,0,0,0,6,1.47,0,0,0,0,12.29,0,24.09,7.71,34.86,0,0,2.3,0,61.71,16.64,0,0,0,0,5.77,0,0,15,0
