stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,8.91,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.03,0,0,0,15.11,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,0,0,0,0,0,0,0,0,0,0,1.1,0,0,7.33,8.27,0,0,0,0,0,0,4.65,0.87,8.73,0,0,0,0,0
 24-34,0,2.39,0,0,2.09,3.84,0.7,4.44,0,0,0,0,0,6.92,5.25,0,0.84,73.53,0,1.35,2.05,0,0,1.8,0,1.81,12.95,0,0,4.66,0,0
 36-46,0,6.18,0,0,0,0,1,6.84,0,0,0,4.51,0,20.5,0,0,5.02,117.43,0,0,0,0,0,0.69,0,0,17.97,0,0,0.6,0,0
 48-58,0,0,0.69,0,15.75,0,0.58,15.68,0,0,0,0.4,0,16,0,0,3.37,165.76,0,0,3.74,0,0,0.46,0,0,28.69,0,0,6.94,0,0
 60-70,0,0,0,0,8.22,0.69,0,9.12,0,0,0,0,0,15.08,0,0,0.82,200.25,0,0,12.65,0,2.4,2.64,0,0,10.9,0,0,2.07,0,0
 72-82,0,0.59,5.6,0,22.76,0,0.88,8.88,0,0,1.52,9.35,0,20.89,0,0,1.45,240.9,0,0,5.27,0,0,3.44,0,0,14.99,0.68,0,2.61,1.05,3.1
 84-94,0,3.64,2.47,0,12.65,0,0.89,7.45,0.75,0,0,5.97,0.6,25.62,0,8.69,0.76,128.38,0,1.88,6.98,0,0,2.8,0,0,0.67,0,0,4.43,0,0
 96-106,0,4.87,0,1.66,22.66,0,0,1.84,0,0,0,9.33,0,40.94,0,0,4.95,163.29,0,2.76,15.12,0,0,7.26,0,0,11.33,0,0,4.31,3.27,0
108-118,0,7.61,0,0,5.2,0,2.05,12.03,0,0,0,9.07,0,25.31,0,2.24,0.62,145.6,2.26,0.42,13.55,0,0,0.52,0,0,2.77,0,1.98,3.21,2.09,0
120,0,9.27,0,0,25.52,2.75,0,0,0,0,0,15.72,0,67.59,0,0,4.19,311.03,0,0,5.9,0,0,2.84,0,0,0,0,0,15.55,0,0
