stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.45,0,0,0,17.17,0,0,0,0,0,0,81.11,0,0,20.61,0,0,0,0,0,0,0
 10-12,28,0,0,0,22.31,0,0,0,0,0,0,266.15,7.02,0,95.25,0,0,0,0,0,0,0
 14-21,0,7.09,1.82,0,2.02,0,0,0,0,0.94,2.73,30.11,0,0,0,0,5.3,7.99,1.83,0,0,0
 24-34,0,4.46,0,0,0.97,0.69,0,0.74,0,4.72,3.55,14.93,0,1.68,0,0,0,1.85,6.54,1.12,0,1.01
 36-46,0,0,0.91,0,3.57,0,0.98,0,0,2.38,1.11,13.47,1.52,0,0,0,0,0,2.25,1.54,0,0
 48-58,0,0,0,0,0.91,0,0,0,3.44,0.42,1.26,25.27,0,0,0,0,0,0,5,1.38,0,0
 60-70,0,4.54,0,0,9.21,1.83,0,0,0,1.85,0,29.97,0,5.64,0,2.55,0,0,1.16,1.12,0,0
 72-82,0,0,0,0,7.95,0,0,0,0,7.72,1.91,16.51,0,0,0,0,0,0,1.35,0,0.93,0
 84-94,0,0,0,0,5.85,0,3.26,1.34,0,3.05,0,15.64,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.14,0,0.62,0,1.42,0,0,4.44,0,6.03,0,0.62,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.04,0,1.91,0,1.69,2.6,0,10.47,0.41,0.91,0,0.41,0,0,0,0,0,0
120,0,0,9.24,2.35,1.3,0,0,0,8.54,0,0,47.24,0,0,0,1.72,0,0,0,0,0,0
