stage,epidermis,eye,fin_epithelia,glial,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal_cord
 14-21,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,9.11,0,0,0,0.78,0,0,0,1.53
 36-46,0,2.41,0,0,0,3.43,0,0,0,1.95,0,0,0,0.8
 48-58,0,1.54,0,0,0,5.7,0,0,0,0.62,0,0,0,0
 60-70,0,0.64,0,0,0,4.78,0,0,0,1.97,0,0,0,0
 72-82,0,0,0,0,0,2.94,4.53,0,0,1.28,0,0,0,0
 84-94,0,2.46,1.3,0,0,14.87,0.65,0,0,2.83,0,0,0,0
 96-106,0.64,0,0,0,2.64,10.22,5.66,0.62,0.67,0.73,1.88,0,0.87,0
108-118,0,0,0,0.81,6.82,1.02,2.16,0,0,0,0.52,3.2,0,0
120,0,0,0,0,2.45,0,0,8.44,0,0,0,0,0,0
