stage,epidermis,eye,mesenchyme,neural,somites
 14-21,0,0,0,1.38,1.07
 24-34,0,0,0.79,0.81,0
 36-46,0,0,0,0.7,0
 72-82,0,0,1.23,0.66,0
 96-106,2.39,1.31,0,0,0
108-118,0,4.3,0.83,0,0
