stage,blastomeres,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,pericytes,spinal.cord
  5-6,6.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.87
 24-34,0,0,0,0,0,0,1.27,0,0,0,0
 36-46,0,0,0,0,2.31,0,20.86,0,0,0,7.53
 48-58,0,0,0,0,0,0,8.26,0,0,0,4.26
 60-70,0,10.59,0,0,0.66,0.92,13.98,0,0,0,1.24
 72-82,0,16.14,0.98,0,0,0,54.91,0,0,0,15.18
 84-94,0,4.49,0,0,2.09,0,23.68,0,0,0,0
 96-106,0,16.49,0,0,0,0,20.94,0,0,0,1.91
108-118,0,18.29,1.02,0,0,0,21.94,0,0,3.57,0.47
120,0,18.55,1.51,1.06,0,0,24.86,4.5,3,0,0
