stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.57,0,0,0,0,0,0
 14-21,0,0.99,0,0,0,1.06,0,0,0,0,0,0,1.78,0,0,0,2.97,0,0
 24-34,0.64,0,0,1.66,0,0,0,0,0,0,1.38,0.71,12.12,0,0,0,7.42,0,0
 36-46,0,0.76,0,1.66,0,0,0,0,0,0,1.32,0,34.76,0,0,0,4.69,0,0
 48-58,3.9,0,0,7.15,0,1.83,0,0,0,0,5.78,0,80.08,0,0,0,8.19,0,0
 60-70,0,0,0,3.58,0,0,0,0,0,0,1.66,0,125.27,1.48,0,0,16.38,0,0
 72-82,0.71,0,0,19.5,0,4.2,0,0,0,0,9.03,0,231.54,0,0,0,38.81,1.15,0.63
 84-94,3.3,0,0,7.34,0.91,0,0,0,0,1.71,3.34,0,234.23,0,0,0,24.61,0,0
 96-106,2.04,0,0,8.21,0,0.59,2.12,0.73,4.84,0,5.78,0.78,188.06,0,0,0.94,12.26,0,0
108-118,3.57,0,1.02,16.84,0.43,5.68,0,0.54,0,0,3,0,277.49,0.96,0,0.73,6.59,0,0
120,4.24,15.84,0,33.83,0,16.08,0,0,0,0,0,0,521.97,0,19.35,0,30.27,0,0
