stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,neural,spinal_cord,vasculature
  3-4,13.21,0,0,0,0,0,0,0,0,0,0
 10-12,5.73,0,0,0,0,0,0,0,4.12,0,0
 24-34,0,0,1.2,0,0,0,0,0.77,6.46,0,0.77
 36-46,0,0,0,0,0,0,0,0.63,6.62,3.97,0
 48-58,0,0,2.24,0,0.69,0,0.38,1.9,10.13,0.79,0
 60-70,0,0,7.11,1.14,0,0,0,0.79,8.04,0,0
 72-82,0,0,2.34,0,0,0,0,1.61,10.24,0,0
 84-94,0,0,0,0,0,0,0,0,5.41,0,0
 96-106,0,0,1.75,0,0.71,0,0,0,0.88,0,0
108-118,0,0.83,4.94,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2.91,0,0,14.61,0,1.82
