stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,40.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.55,0,0,0,0,0,0,0,0,0
  5-6,0,116.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.89,0,0,0,11.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.35,0,0,0,41.58,0,0,0,0,4.97,0,0,0,0,0,0
 14-21,0,0,0,3.83,19.48,6.01,0,2.21,0,0,0,0,1.5,0,0,0,0.81,0,0,0,0,11.71,0,0,9.17,25.23,11.16,0,0.94,1.82,0,0,0,9.01,0,4.08,11.92,0,0,2.55,0
 24-34,0,0,0,1.36,51.43,0,0,1.7,0,0,1.39,1.64,0.63,0,0,0,2.02,0,0,0,0,45.19,0.69,0,16.79,135.68,33.61,1.84,6.32,0,0,2.08,0,0,0,0,35.83,0,0,5.64,0
 36-46,0,0,0,0.84,27.54,0,0,11.01,0,6.85,2.96,4.79,0.67,0,0,0,5.76,0,0.68,1.62,0,37.7,0,0,15.95,316.21,58.61,3.43,4.74,0,0,6.41,0,0,0.67,0,63.96,0,0,8.61,0
 48-58,0,0,0,0,31.56,0,0,27.29,0,2.36,30.57,6.58,0.49,0,0.44,2.33,5.1,0,1.59,1.77,0,106.03,1.17,1.16,7.85,502.64,62.11,0.48,9.71,0,0,2.02,0,0,0.38,0,77.67,0,0,1.95,0
 60-70,0,0,0,0,65.56,2.5,0,109.33,0,2.59,29.28,24.94,2.53,0,0,0.83,2.03,0,13.03,9.05,4.05,392.04,1.7,9.22,16.8,967.53,54.54,3.66,11.06,0,0.63,5.76,0,0,0,0,102.35,0,4.81,3.65,0
 72-82,0,0,1.68,0,55.58,7.12,0,421.12,0,2.85,22.55,58.33,5.84,0,0,0.54,8.45,0,12.77,0,1.88,682.73,0,12.64,20.92,1551.68,38.06,1.92,22.89,0,0,2.68,0,0,1.5,0,112.73,0.67,10.43,9.92,6.36
 84-94,1.85,0,5.37,0,116.42,4.06,0,588.87,0.91,10.6,2.38,55.35,27.55,1.22,2.33,6.07,15.33,0,14.08,4.48,0,700.4,4.16,10.32,11.07,1104.6,53.8,8.1,40.47,0,0,19.51,0,0,0,0,65.72,0.55,20.29,20.25,10.65
 96-106,0,0,1.55,0,136.78,12.63,0,770.39,2.51,14.08,6.03,116.59,44.72,0,6.29,2.74,9.88,2.63,21.35,2.75,0,658.83,4.32,14.71,13.88,1156.44,45.02,6.52,43.85,0,0,20.22,0.7,0,0,0,37.13,0.81,23.19,2.56,28.16
108-118,0,0,1.56,0,166.71,8.64,0,1120.23,0,21.4,7.22,164.88,69.22,0,1.81,5.11,17.71,1.85,22.01,1.13,2.91,690.98,15.46,10.37,19.29,1219.83,47.67,6.17,36.27,0,3.43,8.22,0,0,0.45,0,37.65,9.58,35.78,16.07,7.45
120,0,0,0,0,136.76,10.37,1.14,1058.46,0,24.57,2.17,223.42,34.98,0,4.26,12.12,24.49,0,22.21,6.17,0,705.37,6.3,95.76,14.88,1982.32,62.52,2.49,27.22,0,5.9,8.5,0,0,0,0,33.36,6.56,29.32,8.64,28.59
