stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  5-6,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.61,0,0,0,0,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.81,0,10.23,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.15,0,0,0,0,0,0,0.99,5.34,0,0,0,0,0,1.88,0,2.31,0,0,0
 24-34,0,0,0,1.72,1.81,0,0,0,0,0,0,0,3.75,1.45,0,0,0,0.7,0,0,0,0,0.64,0
 36-46,0,0,0,0,0.69,0,0,0,0,0,0,0,11.49,0,0,0.59,0,6.79,0,0,0,1.38,2.47,0
 48-58,0,0,0,4.29,3.24,0.39,3.52,0.47,0,0,0,0,12.01,0,0,0,0,0.81,0,0,0,0,0,0
 60-70,0,0,0,0,0.58,0,1.63,0,0,0.67,0,0,6.92,0,0,0.65,0,0,0,0,0,0,0,0
 72-82,0,0,0,1,2.91,0,0.89,0,0,1.28,0,0,6.77,0,0.52,0,0,0.49,0,0,0,0.67,1.96,0
 84-94,0,0,0,0,2.25,0,0,2.86,0,1.78,0,0,6.15,1.33,0,0,0,0,0,0,0,0,0.98,0
 96-106,0,0,0,0,0,0,0,3.97,0,2.16,0,0,4.95,0,0,0,0,3.05,0,0,0,0,8.96,1.26
108-118,0,0.54,0,0,2.91,0,0,8.22,3.04,4.72,0,0,8.05,0,0,0,0,0,0,0.41,0,0,15.71,0.96
120,0,0,0,3.38,0,0,0,33.3,0,0,5.62,0,18.28,0,0,0,0,0,0,0,0,0,71.38,0
