stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.67,51.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,54.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.06,0,0,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.47,0,0,0,11.16,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.36,0,0,0,12.66,0,0,0,0,0,0,0
 14-21,0,0,0.96,2.87,1.69,1.65,0,0,0,0.89,0,0,0,0,0,0,2.06,0,0,0,20.92,0,1.51,1.59,1.09,0,0,2.31,3.15,10.54,0,0
 24-34,0,0,0,0,0.6,6.3,0,0,0,0,0,0,0.61,0,0,0,5.59,0,0,4.79,42.68,0,1.99,0,0,2.1,0.65,0,0.61,13.92,0,0
 36-46,0,0,0,0,0,2.61,0.64,0,0.57,0.85,0.95,0,0,0,0,0,6.08,1.3,0,1.03,16.91,0,0,0,0,10.32,2.21,0,0,9.19,0,1.05
 48-58,0,0,0,0,1.29,10.93,0,0.42,1.71,0,0,0,0,0,0.5,0,1.22,0,0,0,25.18,0,0,0,0,1.26,0,0,0,4.09,0,0
 60-70,0,0,0,1.59,0,6.27,0,0,0,1.06,0,0,0,0,0,0,10.9,0,0,0,24.15,0,1.12,0,0,2.12,0,0,0,1.44,0,0
 72-82,0,0,0,0,1.56,24.94,5.07,0,0,2.3,0,0,0,0.62,0,0,8.58,1.18,7.17,3.21,33.67,0,1.44,0.53,0,1.14,0,0,0,6.03,0,0
 84-94,0,0,0,2.01,0,11.43,0,0,0,1.77,0.96,0,0,1.23,0,0,8.66,0,0,0,16.53,0,0,0,0,0.56,0,0,0,0,0,1.81
 96-106,0,0,0,0,0,16.65,0,0,0,1.24,0,0.73,0,0,0,0.76,4.99,0,1.32,1.39,26.27,0,0,0,0,4.46,0,0,0,2.36,0,0
108-118,0,0,0,0.59,0,5.75,0.68,0.6,0,0,0,0.63,0,0,0,0.93,2.68,0,0,0,28.29,0.69,0,0,0,3.13,0.78,0,0,0,0,0
120,0,0,0,0,1.33,29.77,0,0,0,0,1.68,0,0,0,0,0,8.59,0,2.4,0,37.74,0,0,0,0,3.03,1.2,0,0,0,1.52,0
