stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,190.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.69,175.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,12.23,0,0,0,0,0,32.17,0,0,0,0,0,0,0,0,60.72,4.47,0,0,25.31,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,4.27,0,4.95,9.5,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,95.69,0,0,0,40.17,4.05,0,0,6.11,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,1.83,6.76,4.71,5.79,0,0,0,5.39,0,0,0,0,0,0,0,9.92,0,8.19,88.89,3.02,0.83,1.05,3.62,0.86,1.1,25.71,1.01,1.33,20.69,41.33,0,0,1.55,0,0
 24-34,0,0,0,0,1.62,0,3.84,0,0.68,0,2.95,0,0,0,0,0,0,0,5.84,0.69,2.71,117.4,0,0,0.66,0,0,0,0,0,0.88,1.29,23.33,0,0,1.93,0,2.31
 36-46,0,0,0,0,1.42,0,17.15,0,6.34,0,2.6,0.58,0,0,0,0,0,1.8,16.66,0,3.29,138.93,0,2.85,0,0,0,0,0,0,0,0,31.92,0,0,1.7,0,0
 48-58,0,0,0,0,0,0,30.45,0,0,0,8.63,0,0,0,0,0,0,0,13.76,0,3.7,93.29,0,0,0,0,0,0,0,0,1.43,0,10.28,0,0.44,0.37,0,5.75
 60-70,0,0,0,0,0.61,0,42.01,0,0,0,14.35,0,0,0,0,0,0,0,12.28,0,1.56,69.06,0,0,4.69,0,0,0,0,0,2.06,0,12.41,0,0.71,0,0,0
 72-82,0,0,0,0,4.54,0,12.46,0,0,0.58,9.69,0,0,0,1,0,0,0,9.34,0,1.77,59.76,0,1.11,0,0,0,0,0,0,3.02,0,17.7,0,0,6.28,0.78,6.76
 84-94,0,0,0,0,2.5,0,19.85,0,0,0.93,15.06,0,0,0,0,0.75,0,0,27.84,0,1.39,29.97,0,0,1.57,0,0.78,0,0,0,0,0,8.04,0.97,0,3.5,0,1.89
 96-106,0,0,0,0,1.2,2.25,22.99,0,0,0,12,0.77,0,0,0,0,0,0,18,0,0.59,22.02,0.62,0.59,5.54,0,0.58,0,0,0,0,0,0,0,0,0.87,0.87,1.76
108-118,0,0,0,0,0,0.85,14.07,0.54,0,0,4.23,0,0,0.8,2.15,0.42,0.49,0,7.95,0,6.55,53.29,1.51,0,0,0,2.5,0,0,0,0.68,0,4.36,1.3,0,2.09,0,3.47
120,0,0,0,0,1.88,5.62,21.39,5.49,1.14,0,11.32,0,0,0,0,0,0,0,23.5,1.26,4.33,123.25,0,0,3.44,0,1.05,0,0,0,0,0,10.42,0,0,0,0,0
