stage,blastomeres,glial,gut,heart,immune,iridophores,mesenchyme,neural,periderm,pronephros,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,5.09,0,0
 10-12,9.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.14,0
 36-46,0,0,0,0,0,0,0,2.67,0,5.35,0
 48-58,0,0,0,0,0,0,0,0,0,9.48,0
 60-70,0,1.76,1.66,0,0,2.33,0.93,0,0.85,6.8,0
 72-82,0,0,0.66,0,0,0,0,0.65,0,4.11,0
 84-94,0,0,0,0,0.65,0,4.07,1.39,0,0.96,0
 96-106,0,1.35,1.31,0,0,0,0,0,0,0.63,0
108-118,0,7.84,0,0,0.97,0,0,0,2.69,0,0.68
