stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,37.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,33.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,16.21,0,0,7.45,0,0,0,0,31.79,0,0,11.62,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,44.13,0,0,51.67,0,0,0,0
 14-21,0,0,0,0.85,0,0,1.08,0,0,0,7.76,0,0,0,0,2.61,15.67,2.9
 24-34,0,0,0.81,0,1.11,2.71,0.7,0,0,0,15.1,2.13,0,0,0,0,0,2.3
 36-46,0,0,0,0,0,1.81,0,0,0,2.26,19.87,0.73,0,0,0,0,0,1.87
 48-58,0,0,0,0,0,10.16,1.62,0,0,1.73,8.45,1.24,0,0,0.4,0,0,2.24
 60-70,0,0,0,0,0,1.97,0,0,0,0,1.2,0.74,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.21,1.66,5.11,0.67,9.56,5.04,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.68,0,0,1.68,0,0,3.3,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.31,0,13.54,0,2.04,11.4,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.21,0,4.18,1.1,2.92,11.51,0,0,0,0,0,0,0
120,0,0,0,0,0,0,2.94,11.02,0,8.47,1.59,0,6.5,0,3.22,0,0,0
