stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,38.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,132.19,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,17.15,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,14.96,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,57.57,0,0,0,26.15,0,0,7.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,14.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.9,0,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,40.18,0,1.95,0,0,0,0,0,1.99,12.78,0,0,0,0,1.12,0,0,0,7.85,0,0,0,0,0,0,0,2.22,0,0,2.01,1.73,0,66.48,0,0
 24-34,0,0,2.67,8.77,0,1.16,0,0,0,0,0,5.57,72.46,0,0,0,0,8.49,0.74,0,0.89,18.55,0,0,0,0,0,3.71,0,0,0,0,0,1.53,0,149.62,0,0
 36-46,0,0,12.07,2.19,0,4.26,0,0,0.7,0,0,0.67,82.9,0,0,0,0,2.93,0.63,0,0.59,20.32,0,0,0,0,0,1.35,0,0,0,0,0,4.54,0,78.13,0,0
 48-58,0,0,0.37,5.2,0,12.59,0,0.47,0,0,0,1.9,112.88,0,0,0,0,2.86,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0.93,0,59.93,0,2.55
 60-70,0,0,0,0.67,0,595.09,0,0,9.14,0,0,3.14,95.71,0,0,0,0,6.45,0,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0,3.38,0,58.06,0,0
 72-82,0,0,4.41,0,0,1580.5,0,3.22,16.39,2.8,0,2.2,153.39,0,0,0.65,0,8.35,0,0,0,53.63,0,0.71,0,0,0,0,0,0,0,3.02,0,3.87,0,83.69,0,9.7
 84-94,0,0,10.08,0,0,1827.51,0,0,12.34,0.61,0,2.87,181.76,0,0,0,9.69,9.14,0,0,1,23.4,3.55,0,0,0,2.65,2.25,0,0,0,0,0,0,0,88.96,0,0
 96-106,0,0,5.69,8.85,0,1421.06,0.86,0,28.3,0,0,4.32,297.44,0.78,0,0,0,22.48,0,0.66,0,35.4,0,0,0,0,1.16,4.65,0,0,0.6,0.9,0,0,0,80.8,0.65,2.42
108-118,0,0,7.72,0,1.57,1348.83,0,3.79,12.27,0,0,0,256.85,0.56,7.22,0.69,0.89,14.1,0,0,0.77,44.23,0,0,0.8,0,0,6.35,0.42,0,0,0,0,0,1.42,78.08,0,0
120,0,0,4.36,4.95,0,1949.26,0,0,26.17,0,0,0,324.66,0,0,0,0,8.65,0,0,17.96,66.18,0,0,0,0,0,0,0,0,1.62,0,0,0,0,42.31,0,0
