stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,25.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,22.31,0,12.16,0,0,0,0,0,0,0,0,0
 10-12,0,5.83,0,0,0,0,0,0,0,13.54,9.13,10.94,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.83,1.2,11.3,0,0,0.84,3.31,0,3.22,3.66,0,0,0,0
 24-34,0,0,1.35,0,0,0,0,1.28,0.66,17.79,0,0,0.77,0,0,0.81,1.66,0,0,0,0
 36-46,0,0,0,0.59,4.4,0,0,1.34,0,10.42,0.57,0,0,0,0,0,1.97,0,0,0,0
 48-58,0,0,0,4.96,0.64,0.39,0,1.48,0,17.22,0,0,0,0,0,0,0,0,0,0,0.48
 60-70,0,0,0,7.27,0,0,0,0.92,0,3.5,0,0,0,0,0,0,1.45,0,2.1,0,0
 72-82,0,0,0,4.65,0,0,0.79,4.33,0.76,9.55,0,0,1.16,0,0,0,2.66,0,0,0,0
 84-94,0,0,0,0.68,0,3,0,0,0,1.04,0,0,0,0,0.81,0,0,0,0.83,0.75,0
 96-106,0,0,0,5.26,0,3.18,0,0,0,1.11,0,0,0,0,0,0,0,0.79,0.7,0,0
108-118,0,0,1.19,1.37,0,0.76,0,2.04,0,6.12,0,0,0,0,0,0,0,0,0,1.05,0
120,0,0,0,8.91,0,0,0,3.91,0,21.63,0,0,2.99,0,0,0,0,0,0,0,0
