stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,neural,notochord,otic,periderm,pronephros,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,34.59,0,0,0,0,0,0,0,0,0,0,0,0,0,27.78,0,0,0
 36-46,0,0,0,24.17,0,0,0,0,0,0,0,0,0,0.96,0,0,0,43.13,1.22,0,0
 48-58,0,0,0,83.73,3.06,4.7,0,0,0,0,0,0,0,7.55,0,0,0,33.6,0,0,0
 60-70,0,0,0,672.49,0,0,0,0,0,0,0,1.84,0,0,0,0,0,45.62,0.82,0,7.05
 72-82,0,0,0,627.47,0,2.8,0,0,0,0,1.71,1.96,1.72,11.86,0,0,0.62,27.93,1.91,0,3.97
 84-94,0,0,0,711.04,0,6.09,0.75,0,0,2.31,0,3.59,0,27.59,0,0,0.63,39.7,0,0,0
 96-106,1.42,11.47,0,282.71,0,9.11,0,0.57,0,0,1.84,3.49,0,17.47,0,0,0,29.14,0,0,0
108-118,0,0,1,299.2,0,1.12,0,0,0,0,9.38,1.47,0,3.74,0.47,0.74,0,32.88,0,2.83,0
120,11.7,0,0,299.76,0,0,0,0,2.23,0,0,5.25,0,36.99,0,0,0,38.24,0,0,0
