stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,73.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.91,0,3.79,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0.96,0,0
 24-34,0,1.31,0,0,0,0,0,0,0,17.91,0,0,0,0,0,1.75,0,0
 36-46,0,0,0,2,0,0,0,1.17,0,18.76,0,0,0,0,0,4.61,0,0
 48-58,0,0,0,10.94,1.99,0,0,0.5,0,18.39,0,0,0,0,0,0.76,0,0
 60-70,0,1.01,0,130.09,4.7,0,0,0,0,41.98,0,0,0,0,0,2.55,0,4.01
 72-82,0,0,0,385.88,17.32,0.49,0,2.96,0.49,65.44,0,0,0,0,0,1.01,0,0
 84-94,0,2.01,0,235.52,5.43,0,0,11.09,0,18.56,0,0,0,0,0,0,0.77,0
 96-106,0,1.94,0,401.03,10.88,0,0,11.48,0.87,18.65,0,0,2.7,0,0,0,0,0
108-118,0,0,1.35,331.94,0.86,0,1.7,6.18,0,19.82,0.48,0,0,0,2.96,2.47,0,0
120,0,0,0,200.69,17.04,0,0,0,0,22.85,0,0,0,0,0,0,0,0
