stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.73,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,12.83,0,0,5.16,0,0,0,0
 14-21,0,0,0,1.08,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,5.57,0,0
 36-46,0,0,0,1.03,0,0,0,0,0.86,0,33.84,2.15,0,0,0,9.37,0,0
 48-58,0,0,5.57,0,0,0,0,0,0.51,0,90.07,1.29,0.69,0,0,5.47,0,0
 60-70,0,0.72,17.61,2.35,1.31,0,0,0,0,0,64.96,3.71,0,0,0,1.7,0,0
 72-82,0,0,33.24,7.81,17.97,0,0,0,0,0,85.46,0,0,0,0,4.4,0,1.51
 84-94,0,2.35,47.8,2.01,25.21,0,0,0,1.29,0,49.88,0,0,0,1.09,0,0,0
 96-106,0,0,14.24,0.72,64.86,0,0,1.2,0,1.01,50.86,0,0,0,0,0,5.1,0
108-118,0,0.45,20.13,3.2,92.77,0,4.95,0,0,0,19.31,0,0,0,3.06,0,6.3,0
120,0,0,8.63,0,284.03,0,0,0,2.22,0,59.44,0,0,0,0,0,14.76,0
