stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,116.12,3311.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.58,0,0,0,0,0,0,0,0,0
  5-6,128.09,1862.1,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.91,8.9,0,0,0,0,43.57,0,0,0,0,0,0,0,0,0
  7-9,4.06,0,0,4.21,0,0,0,4.61,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,85.53,0,0,0,27.18,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,20.18,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.67,0,0,0,4.92,0,0,0,3.78,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.27,0.82,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,73.01,0,1.74,0.81,0.96,0,1.86,0,0,0,1.53,54.39,0,0,0,0
 24-34,0,0,0,0,12.05,1.7,0,3.73,0,0,0,0.87,0,0,0,0,0,0,0,0,0,5.18,0,0,3.26,1138.93,1.07,29.67,0,0,0,0,0,1.17,6.66,0.72,204.3,0,0,0,0.89
 36-46,0,0,0,0,2.51,0,0,52.45,1.25,0,0,27.86,0,0,0,0,0,0,0,0,9.36,18.92,0,0,1.14,3059.94,0,31.42,0,0,0,17.57,0,0,0,0,456.59,0,0,0,1.43
 48-58,0,0,0,0,14.47,1.62,0,286.42,4.76,4.62,0.49,97.86,0,0,1.05,0.68,0,6.73,0,0,6.22,27.35,1.17,4.21,3.17,3994.69,0,12.91,0,0,0.73,1.14,0,0,1.28,0,619.56,0,1.29,0,2.08
 60-70,0,0,0,0,0.75,0,0,505.45,0,0,0,142.8,0,0,6,0,0,0,0,0,6.33,17.87,0,0,4.07,4188.07,0,20.46,1.74,0,0,10.69,0,0,0,0,614.67,0,0,0,1.07
 72-82,0,0,0,0,8.71,0.52,0,408.47,0.51,0.7,0,147.34,0.63,0,0,4.17,0,0,0.97,3.49,0.64,35.59,0,0.74,4.41,2876.34,1.44,13.72,0.58,0,2.35,2.77,0,0,0,0,337.84,0.75,6.14,0.56,14.6
 84-94,0,0,1.46,0,13.76,5.11,0,322.96,0,0,0,116.73,0,2.11,1.4,1.36,1.16,1.37,0,0,0,34.77,0,0.66,1.92,1813.57,0,7.34,2.77,0,0,14.31,0,0.94,0,0,200.62,1.64,6.2,0,9.39
 96-106,0,0,0.99,0,0.64,19.85,0.6,240.88,0,0.96,4.2,131.19,0,0,0,2.23,0.6,0,0.97,0,0,28.2,0,0,3.49,1232.02,0,13.7,2.74,0,0,8.33,0,0,0,0,74.32,0,2.1,2,0
108-118,0,0,0,0,15.29,0.98,0,257.06,1.05,0,0,149.86,0,0,0,3.19,0,0,0,0,0.54,27.76,0,0,0,1663.88,1.97,4.7,1.33,0,0,0,0,0,0,0,77.42,0,1.79,1.05,0
120,0,0,0,0,6.16,7.87,0,365.21,2.34,0,0,237.32,0,0,0,0,6.31,0,0,31.18,0,43.28,0,2.13,2.35,2959.57,0,34.86,0,0,0,9.52,0,0,0,0,60.7,0,5.08,0,16.56
