stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,67.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.52,0,0,0,0,0,0,0,0,0
  5-6,0,63.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.7,0,0,0,0,0,0,0,0,0
  7-9,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.18,3.71,0,0,15.06,0,11.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.52,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.04,0,0,0,22.23,0,6.67,0,3.49,0,0,0,0,0,0,0
 14-21,0,0,0,50.15,1.04,6.17,0,2.36,0,1.17,3.01,3.13,0,0,7.45,0.92,0,0,2.28,0,0,0,21.59,0,5.79,3.41,0.82,0,39.72,0.9,1.07,2.61,16.86,0,0,0,0,0
 24-34,0,0,0.64,155.31,1.27,16.49,0,23.68,0,1.07,0.67,0,2.45,0,8.55,5.73,0,0,8.99,2.4,0,1.91,48.21,0.73,14.46,11.53,0,0,127.03,0,3.34,1.27,13.8,0,0,8.28,0,0
 36-46,0,0,0.63,73.92,0,13.72,0,42.67,0,0,1.43,0,1.43,0,0.66,7.95,4.47,0,1.84,1.5,0,1.66,28.01,0,4.06,7.44,0,0,139.96,0,0,0,2.2,0,0,2.68,0,0
 48-58,0,0,0.43,26.64,0,11.76,0,10.86,0,3.04,0,0,2.1,0,6.18,3.32,0,0,2.69,2.73,0,0,34.57,0,1.77,8.81,0,0,66.68,0,4.15,0,7.87,0,0,0,0,0
 60-70,0,0,0,61.18,0,19.43,0,9.73,1.21,16.26,0.77,1.21,1.45,0.9,2.03,10.98,0,6.38,0.98,0.62,0,0,45.95,0,1.08,6.12,0,0,101.27,0,0,0,1.4,0.61,0,1,0,0
 72-82,0,0,0,40.56,0.89,21.67,0,9.97,1.05,109.62,3.03,0.5,2.67,0,3.54,22.01,0,0,5.5,5.12,0.9,0,42.79,0,1.49,10.1,0,0,46.01,0,0.84,0,4.54,7.48,4.15,5.51,0,0
 84-94,0.62,0,1.04,77.96,1.7,14.35,0,13.98,0,90.28,7.15,0,1.66,0,8.27,14.82,4.14,0,16.45,2.17,0,0,35.74,0,5.08,8.78,0,4.76,178.04,0,0.67,0,3.14,9.28,1.15,6.03,0,0
 96-106,0,0,0,88.22,0,17.19,0,15.04,0.58,135.41,5.48,0,7.56,9.12,9.57,25.63,2.16,0,7.36,14.31,4.89,0,34.38,0,7.44,15.71,0,0,143.65,0,0,0,2.78,9.16,0,4.5,0.72,1.89
108-118,0,0,0,83.13,0,21.24,0,17.67,1.57,210.57,11,0,2.65,5,13.98,10.31,0,0,13.04,7.27,0.66,0.5,41.03,0,9.64,16.03,0,0,134.37,0,1.88,0,2.8,5.59,0,0.65,0,0
120,0,0,0,112.29,0,27.5,1.75,6.75,0,256.94,3.55,0,4.06,8.48,5.29,13.14,19.08,0,16.07,3.12,1.26,1.1,50.81,0,6.11,8.37,0,2.54,44.27,0,1.12,0,0,10.39,0,0,0,0
