stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,11.81,2.07,0,0,0,0,0,1.3,6.74,0,0,0,0,0
 24-34,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0.76,0,1.87,198.32,2.57,1.96,1.58,0,0,0,0.63,55.58,0,0,1.71,0,0
 36-46,0,0,0,6.93,0,0,0,7.41,0,0,0,0,0,0.57,0,0,0,0.73,535.35,5.95,4.8,0,0,0,0,0,63.74,0,0,0,0,0
 48-58,0,4.26,0,44.78,0.86,0,0,19.21,0,0,0,0,0,0.48,0,12.42,0,4.24,530.23,0,2.84,0.52,2.33,2.74,0.9,0,97.29,0,0,0,0,0
 60-70,0,0,0,212.08,0,0,0,38.46,0,6,0,0,0,0.6,0,13.41,0,0,841.66,0.62,0,2.37,0,0,0,0,146.89,0,0,0,0,6.18
 72-82,0,8.35,0,268.75,0,0.7,1.16,24.83,0,0,0.61,0,0,2.7,0,44.94,0.49,0.69,920.03,0.53,7.3,8.02,1.26,0,0,0,99.42,3.03,3.83,0,2.49,9.47
 84-94,0,0.77,0,193.27,0,0,0,28,0.68,0.98,0.65,0,4.06,0.65,1.11,25.29,2.45,0,449.97,2.32,0.78,8.12,0,0,0,0,50.68,0,0,0.97,3.72,0
 96-106,1.36,5.69,1.2,82.86,0,0,4.04,26.58,0,0,0,0,0,1.36,0,29.63,0,0.95,280.52,0.79,5.51,1.2,0,0,0,0,15.9,0,1.74,1.95,0,0
108-118,7.72,1.74,0,127.05,0,0,0.74,7.2,0.58,0,0,0.51,0,1.34,0.91,20.5,0.94,0,448.35,1.2,1.14,12.03,0.79,0,0,0,21.07,0,0,4.24,3.36,2.91
120,0,25.62,0,173.18,0,0,11.93,41.95,0,0,10.28,0,0,4.72,0,70.64,1.45,8.89,904.06,1.73,5.76,4.26,1.01,0,0,0,25.51,0,0,1.59,5.18,0
