stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,1937.06,36581.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430.37,0,0,0,0,0,0
  5-6,1190.4,13777.25,0,0,0,0,0,0,0,56.64,0,0,0,0,0,278.26,7.94,0,0,143.88,257.76,0,0,0,0,0,0
  7-9,60.37,22.71,0,56.35,0,0,54.49,0,0,20.66,0,0,0,0,0,961.94,37.57,0,0,297.99,0,74.4,0,0,0,0,0
 10-12,0,0,0,13.82,0,0,35.11,0,0,17.98,0,0,0,0,0,207.68,0,0,0,53.66,0,20.29,0,25.27,0,0,0
 14-21,0,0,0.82,0,1.93,0,0.82,0,1.08,0,0,0,0,0.81,0,13.76,0.81,1.02,0,0,0,2.24,1.82,0,1.83,3.46,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,0.83,0,0,0,2.54,0,0
 36-46,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.1,0,1.01,0.56,0,0,0,0,0.78,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.57,0.94,0,0,0,0,0,0,0,0.58,3.62,0,0,0,0,0,0,0,0,0,2.46,0
 72-82,0,0,0,0,0,0,8.63,0,0,0,6.97,0,0,1.56,0,1.78,0,0,2,0,2.12,0,0,0,0,0,1
 84-94,0,0,1.44,0,0.94,0,2.5,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,9.78,2.04,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,9.11,0.94,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
