stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,43.56,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0
  5-6,13.36,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0
 10-12,0,7.76,0,0,0,0,0,0,0,22.71,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.86,0,2.28,7.47,0,0
 24-34,0,0,0,0,0,0,0,0,0,21.26,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.61,0,0,0,40.35,0,0,0,0,0.64,0,0
 48-58,0,0,0,0,1.59,4.14,0,0,0,70.96,0,0,0,0,0,0,0
 60-70,0,0,10.85,0,1.75,9.12,0,0,0,195.42,0,0,0,0,0,0,0
 72-82,0,0,0,0.6,23.28,16.79,0.53,0.64,1.14,215.68,0,0,0,0,0,0,0
 84-94,0,0,0.69,0,10.09,17.86,0,0,3.37,153.22,3.42,0,1.05,0,0,0,0
 96-106,0,0,0,1.27,1.1,10.32,0,0,3.36,176.04,0,0,0,0,0,0,0
108-118,0,0,2.91,0,6.03,57.24,0,0,0,243.33,0,0,0,0,6.42,0,6.35
120,0,0,0,0,0,52.54,0,0,7.23,298.29,0,0,5.52,0,12.11,15.9,0
