stage,blastomeres,epidermis,eye,glial,immune,lateral.line,mesenchyme,muscle,neural,olfactory,spinal.cord
  5-6,9.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.58,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.86
 24-34,0,0,0,0,0,0,0.9,0,3.28,0,2.36
 36-46,0,0,0,0,0,0,0,0,12.35,0,4.23
 48-58,0,0,3.55,0,0,0,0.71,1.39,36.11,0,3.6
 60-70,0,0,8.66,0,0,0,0,0,97.92,0.7,14.68
 72-82,0,0,3.32,0,0,0,0.72,0,97.04,0,13.35
 84-94,0,0,12.4,0.64,0,0.58,1.22,0,39.49,0,0
 96-106,0,0,4.95,0,0,0,0,0,64.76,0,0
108-118,0,0,13.68,0,0,0,0,0,33.83,1.09,0
120,0,5.29,20.38,13,7.58,0,0,0,95.45,0,0
