stage,blastomeres,epidermis,eye,glial,heart,mesenchyme,muscle,neural,olfactory,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,17.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.65,0,0,0
 14-21,0,0,0,0,0,0,1.07,1.32,0,0,0,0,0
 24-34,0,1.75,0,0,2.08,0.77,0,21.62,0,0,9.28,0,1.34
 36-46,0,0,1.51,0,0.75,3.64,0,46.03,0,0,2.85,0,0.9
 48-58,0,0,1.1,0.76,0,3.03,0.69,19.76,0.62,0,6.06,0,1.31
 60-70,0,0,0,0,1.47,0,0,3.4,1.55,0,1.18,0,0
 72-82,0,0,0,0.88,0,0,3.06,4.21,0,0,0,0,0.71
 84-94,0,0,0,0.59,0,2.06,0,13.89,0,0,0,0,0
 96-106,0,0,0,0,1.33,0,0,0,0,0,0,0,1.49
108-118,0,0,0.72,0,0,1.43,0,1.42,0,0,0,0.6,3.8
120,0,0,0,0,1.54,0,0,4.86,0,0,0,0,0
