stage,axial,blastomeres,eye,glial,gut,mesenchyme,neural,otic,periderm,pronephros,somites,spinal.cord
  3-4,50.56,822.64,0,0,0,0,0,0,59.68,0,0,0
  5-6,7.63,260.04,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,3.53,0,0,0,14.98,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.8,0
 24-34,0,0,0,0,0,0,0,1.21,0,0.97,0,0
 36-46,0,0,0,0,0,0,2.84,0,0,0,0,0
 48-58,0,0,0,0,0,0,3.96,0,0,0,0,4.83
 60-70,0,0,5.58,0,0,0,4.94,0,0,0,0,0
 72-82,0,0,0,0,0,0.74,0.89,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.01,3.42,0.96,0,0,0
 96-106,0,0,6.94,2.39,0,0,2.62,0.84,0,0,0,0
108-118,0,0,0,0,1.11,0,0,0,0,0,0,0
120,0,0,5.61,0,0,0,0,0,0,0,0,0
