stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,hatching.gland,iridophores,lateral.line,liver,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,14.48,0,0,0,0,0
  7-9,5.3,0,0,0,0,3.43,0,0,0,0,15.79,19.06,0,0,0,0
 10-12,9.02,0,0,0,0,0,0,0,0,0,27.04,23.46,5.09,0,0,0
 14-21,0,1.41,1.05,0,0,0,0,0,9.69,1.08,3.94,0,5.28,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.1,25.78,0,9.65,2.33,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.09,89.01,0,19.73,0,0,0
 48-58,0,0,0,3.55,0,0,0,0,0,3.45,141.62,0,38.44,0.85,0,0
 60-70,0,0,3.2,34.51,3.18,0,0,0,0,6.05,318.79,0,36.99,0,0,0
 72-82,0,0,0.91,18.4,3.66,0,0,0,0,9.24,424.51,0,66.16,0,0,0
 84-94,0,0,1.18,11.41,1.77,0,0,0,0,2.81,269.77,0,46.97,0,0.6,2.17
 96-106,0,0,4.43,15.02,1.08,0,3.12,1.11,9.55,0.94,202.75,0,21.14,0,0,0
108-118,0,0,3.14,18.66,6.19,0,12.66,0,0,2.1,230.84,0,30.24,0,0,0
120,0,0,0,47.71,3.94,0,8.25,0,0,1.07,621.29,0,33.3,1.56,0,0
