stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,35.7,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0
  5-6,6.56,81.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,3.79,0,5.16,0,18.72,0,0,0,138.61,0,19.09,0,0,0
 10-12,0,8.11,3.04,0,5.72,0,0,0,0,0,115.6,0,31.8,0,0,0
 14-21,0,0,0,2.2,0,1.06,0,0,0.89,3.21,10.27,0,0,0,2.17,4.07
 24-34,0,0,0,0,0,0,0,0,0.65,0,14.25,0,0,0,0,2.27
 36-46,0,0,0,0,0,0,0,0,0.64,0,7.14,1.25,0,0,0,4.04
 48-58,0,0,0,0,0,0.59,0,0,0.39,0,1.66,0,0,0,0,1.2
 72-82,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.32,0,0,1.16,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0
120,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0
