stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.69,0.96,27.48,13.55,12.7,0,0,40.32,0.98,3.34,0.81,0,10.89,0,0,0,9.44,0,0,11.97,191.25,4.43,1.51,4.35,3.04,0,0,1.53,16.98,26.54,0,15.13,93.77,0,0,4.52,0,0
 24-34,0,0,0,3.43,1.71,8.68,1.37,0,18.76,1.08,0,0,0,0,0,1.51,0,19.03,0.69,0,4.53,129.8,0.75,2.17,1.61,0,0,2.3,0,0,3.61,0,3.31,47.23,0,0,0.69,0,0
 36-46,0,0,0,3.83,0,20.44,0,0.57,8.68,0,0,0,0,0,0,0,0,11.36,0,0,4.11,63.3,0.65,4.62,1.34,0,0,0.72,0,0,0,0,0,29.26,0,0,1.52,0,6.22
 48-58,0,0,0,0.53,0,28.29,1.47,1.64,14.41,0,0,0,2.22,0,0,0,1.33,16.95,0,0,1.9,88.53,0,1.48,0.7,0,0,0,0,0,0.54,0,0,15.7,0,0,1.76,0,3.69
 60-70,0,0,0,0.6,0,52.18,0,6.58,33.33,0,0,0,0.65,0,0,0,0,12.07,0,0,2.24,47.62,0,1.33,0.59,0,0,0,0,0,0.68,1.44,0,21.87,0,0,0,0,0
 72-82,0,0,0.56,2.75,0,39.06,0,2.37,24.82,0.69,0,1.57,0,0,3.12,1.19,0,22.15,0,0.55,3.42,71.4,0,3.94,0.95,0,0,0.53,0,0,0,0,0,11.13,0,0,2.62,1.75,0
 84-94,0,0.94,0,0.82,0,46.97,0,0,21.68,0.58,0,0,0.57,0,0.71,0,0,31.32,0,0.98,1.09,51.32,0,0.93,7.22,0,0,1.2,0,0,0,0,0,14.34,0,0.98,2.34,0.92,0
 96-106,0,1.07,0,3.74,0,23.84,0,0,22.61,0,0,0,1.28,0.6,0.63,0,0,11.09,0,1.24,2.31,32.11,0,6.27,1.9,0,2.68,0,0,0,0,0,0,10.55,0.56,0,3.62,0,3.37
108-118,0,3.63,0,1.16,0.58,19.56,0,2.81,25.62,0.76,0,0.49,0.41,0,0.45,0,0,26.43,0,3.5,1.84,48.85,0,4.1,1.76,0,1.58,1.64,0,0,0,0,0,1.16,0,0,4.71,0,0
120,0,11.31,0,2.61,0,13.76,4,0,11.58,0,0,0,0,0,0,0,0,15.38,0,0,0,64.94,0,0,1.86,0,0,0,0,0,0,0,0,0,0,2.93,0,0,0
