stage,blastomeres,glial,neural,otic,periderm,pronephros,spinal.cord
  3-4,73.14,0,0,0,0,0,0
  5-6,33.62,0,0,0,0,0,0
 24-34,0,0,0,0,0,2.19,0
 36-46,0,1.07,0,0,0,0,1.95
 72-82,0,0,0,0,0,0,1.37
 84-94,0,0,2.67,0,0,0,0
 96-106,0,1.45,0,0.62,0,0,0
108-118,0,0,0,0.89,3.15,0,0
120,0,4.72,0,11.81,0,0,0
