stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,7.04,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0,0,17.43,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,3.8,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,0,0.95,0,0,0,11.94,0,0,0
 24-34,0,0,10.54,0,0,0,0,0,0,0,0,0,1.35,54.14,0,0.62,0,0,0,22.24,0,0,0
 36-46,0,0,2.9,0,10.68,0,1.23,0,0,6.7,3.82,0,0.69,139.19,4.5,0,0,0,0,30.16,0,0,0
 48-58,0,0,1.84,0,7.1,0,0.64,0,0,0,0.5,0,0,193.24,0,0,0,0,0,16.94,0,0,0
 60-70,0,0,0,0,17.86,0,0.68,0,0,0,1.25,0,0,133.66,0,0,0,0,0,16.97,0,0,5.74
 72-82,0,0,0.49,0,14.79,0.64,8.8,0,5.83,0,0.49,0,0,182.84,0,0,0,0,0,2.06,0,0,0
 84-94,0,0,0,2.57,25.27,0,9,0,0,0,1.07,1.87,1.54,138.43,0,0,0,2.24,0,1,0,0,3.81
 96-106,0,0,0,0,31.71,0,1.87,0,0,0,2.23,0,0,164.87,0,0,0,0,0,2.04,0,0,0
108-118,0,0,0,2.67,105.44,0,3.9,0,0,0,0.95,0,0.98,181.61,0,0,0,0,0,0,1.53,2.34,0
120,0,0,0,0,25.13,0,12.02,3.12,0,0,0,0,0,289.41,0,0,0,0,0,0,0,0,0
