stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.23,169.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.19,129.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.55,7.17,0,0,15.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,26.29,0,0,22.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.38,0,0,0,18.86,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,2.76,2.62,9.51,0,0,1.3,0,0,1.07,0,0,0,2.94,0,4.53,0,0,3.54,89.74,0,0,0,0,0,2.52,2.52,0,5.92,34.36,0,0,0.81,0,0
 24-34,0,0,0,0.59,11.12,0,26.56,1.04,0,2.8,0,0,2.68,3.14,0,0,0,0.62,11.46,0,0,4.96,252.55,0,6.48,1.62,0,0,1.18,0,0,0,81.81,0,0,10.04,0,2.4
 36-46,0,0,0,0,1.03,2.17,42.9,0,0,6.04,0,0,0.73,1.14,0,0,0,4.75,6.09,0.56,0,3.68,245.67,0,10.06,1.03,0,0,2.2,0,2.13,0,78.53,0,0,6.3,0,2.36
 48-58,0,0,0,0.4,5.9,0,80.9,0.71,0,14.72,0,0,0.45,0.62,6.99,3.19,0.78,5.97,23.32,0,0.39,9.53,267.65,0,2.45,0.48,0,0,0,0,0,0,51.41,0,0,1.51,0,12.47
 60-70,0,0,0,0,5.28,0,217.96,0,0,23.82,1.69,1.21,4.56,13.48,0,0,1.41,15.14,39.34,0,0,4.12,308.62,0,1.76,1.58,0,0,4.31,0,0,0,31.96,0,0,1.96,0,0
 72-82,0,0,0,0,5.31,0,177.18,1.02,1.73,23.37,1.6,0,1.73,12.22,0,0,0,1.58,38.25,0,0.85,0.56,267.61,0,7.44,0,0,0.71,0,0,0,0,21.53,0,0,3.4,0.96,4.28
 84-94,0,0,0,0,4.94,0,107.45,2.03,0,18.48,6.23,0,0,18.76,0.71,0,0.82,8.75,41.01,0,0.85,6.5,170.81,0,14.76,1.31,0,0,0,0,0.56,0,16.22,0,0,4.11,0,16.16
 96-106,0,0,0,0,6.16,0,70.91,2.77,1.1,15.29,2.26,0,0,11.58,0,1.41,0.93,7.11,24.16,0,1.9,5.1,170.51,0,16.79,3.79,0,3.14,1.48,0,0,0,7.33,0,2.28,5,0,9.7
108-118,0,0,1.25,0,6.87,0,67.44,3.26,0,35.73,3.49,0,0,15.94,5.15,0,5.63,8.96,37.28,0,0,3.89,206.79,0,5.83,3.34,0,1.35,1.82,0,0,0,27.09,1.29,0.96,7.15,0,9.92
120,0,0,2.94,0,27.04,5.16,101.95,2.96,8.28,50.21,0,0,0,37.02,0,0,1.43,3.24,94.8,0,5.31,11.93,552.09,1.93,2.49,5.24,0,0,0,0,0,0,25.26,0,6.44,23.25,15.38,4.37
