stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,4.06,0.99,0,0,0,0,0,0,0,14.56,0,0,0,0,0,0,0,15.33,0,0,0.82,0,0.83,0,0.93,50.79,0,0.95,0,0,0,0
 24-34,0,0,0,0,0,0,1.55,0,0,0,5.86,0,2.14,0,0,0,0,0.99,12.13,0,9.93,0,0,0.8,0,0,14.91,0,0,2.82,0,0,0
 36-46,0,0,0,3.17,0,0,1.3,0,0,0,1.21,0,0.57,0,0,0,0,0.56,12.02,0,14.54,0,0,0,0,0,14.02,0,0,1.49,0,0,0
 48-58,0,0.42,0,14.19,0,0,0.59,0,3.93,0,0.96,0,4.39,0,1.63,0,0,0,33.21,0.39,17.77,0,0,0,0,0,7.78,0,0,3.23,0,0,0
 60-70,0,2.47,0,13.51,0,0,10.24,0,0,0,0,0,10.9,0,1.1,0,0,0,58.04,0,12.26,0,0,4.5,0,0,36.54,0,0,0,0,0.63,0
 72-82,0,0.54,0,23.36,0,0,0,0,0,0,5.32,0,25.33,0,2.31,0,1.4,0,93.39,0,46.86,0,0,1.65,0,0,88.64,1.5,0,0,0,0,0
 84-94,0,2.06,0,14.93,0,1.4,1.74,0.96,0,0,10.64,0,47.59,0,0.56,0,0,0,45.34,0,23.01,0,1.49,1.32,0,0,158.91,0,0,0,1.03,1.22,0
 96-106,0,2.28,0,21.88,0.59,0.98,0,0.62,0,1.27,31.05,0,70.28,7.81,7.68,0.78,2.18,0,53.18,0,46.56,0,0,0.58,0,0,220.23,0,0,0,0,4.84,0
108-118,0.93,2.32,0,6.72,0,0,2.66,0,0,0.63,23.99,0.67,54.56,6.06,3.01,0.91,1.87,0.89,48.41,0,34.52,0,0,0.58,0.42,0,189.06,0,0,0,0,1.38,3.71
120,0,6.18,3.27,33.97,1.18,0,0,0,0,0,28.07,0,33.75,0,0,0,0,0,57.27,0,30.73,0,0,0,0,0,129.61,0,0,0,0,0,0
