stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,0,4.28,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,17.32,0,0,0,0,0,0,14.44,0,0,0,0,0
 24-34,0.6,1.28,0.61,0,3.46,0,0,0,0,0,0,0,0,0,0,0,1.93,305.73,0.74,0,0,0,0.68,0,76.51,0,0,0,0,0
 36-46,0,0,0,0,4.49,0,5.83,0,0,0,0,0,0,0,0,0,0,619.05,0,0,0,0,0,0,109.92,0,0,0,0,0
 48-58,0,0,0,0,35.59,0,3.88,0,0,0.64,0,0,0,3.72,0,0.39,0.73,1029.44,0,0,0.59,0,0,0,96.35,0,0,2.7,0,0
 60-70,0,0,0,0,74.73,0,29.42,0,2,0,0,0,0,17.79,0,0,0,2035.45,0,0,0,0,7.53,0,100.45,0,0,0,0,4.96
 72-82,0,8.28,4.37,0,197.6,0,33.35,5.1,0,0,0,0,0,22.81,0.56,1.41,0.71,3279.47,0,0,0.75,0,0,0,72.55,0,0.75,0.95,0.51,0
 84-94,0,4.66,3.81,0,130.14,0,25.97,0,0,2.13,0,0.67,2.93,13.39,0,0,0.61,1902.27,0,0,2.77,0,2.02,0,66.74,0,0,0,0,8
 96-106,0,10.56,6.33,0,145,0,31.73,0,0,0,0,0,0,7.27,0,1.25,0.92,1881.9,0,0.9,0,0,1.13,0,39.53,0,1.27,5.07,0,0
108-118,0,16.45,1.91,0.5,151.6,0.47,35.71,0.58,0,1.25,0.51,0.48,1.12,15.05,0,0,2.02,2369.47,0,1.19,0,0,2.79,0.81,36.02,4.46,0,3.14,0,0
120,0,25.51,0,0,291.73,0,21.62,0,0,0,0,0,0,40.28,0,0,3,4607.66,0,0,0,0,5.41,0,52.7,0,0,0,0,0
