stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.04,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.53,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.49,0,0,9.94,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.97,0,0,0,0,0,0,0,0,1.91,0,0,0,0,20.16,0,4.14,65.5,0,0,0,0,0,0,1.09,26.92,0,0,0,0,0
 24-34,0,0,2.12,1.16,0,0,0,0,0,2.45,0,0,10.09,0,0,0,0,52.44,0,5.99,272.7,0,0,0,0,0,0,0.64,64.33,0,0,0.83,0,0
 36-46,0,0,0,0,0,4.51,0,0,1.45,5.77,0,0,7.18,1.32,0,0,0,81.47,0,3.37,473.61,0,7.02,0,0,0,0,0,96.07,0,0,11.74,0,0
 48-58,0,0,0,2.73,0.38,19.38,0,0,0,22.78,0,0,0,0,0,0,2.48,71.31,0.47,0.88,732.92,0,4.5,0,0,6.47,0,0,83.69,0,0,1.49,0,1.82
 60-70,0,0,0,6.07,0,75.96,0,0,4.85,96.29,0.62,0,0,0,0,1.63,0,107.21,0.75,1.56,1594.75,0,9.14,0,0,0,0,0,165.95,0,1.57,6.3,1.33,0
 72-82,0,0,2.18,3.81,0,164.05,0,0,0,129.59,1.04,0,1.06,0,0,3.49,0,149.14,8.92,0.98,1992.34,0,9.14,0,1.52,2.35,0,0,147.3,0,0,23.02,6.17,6.57
 84-94,0,0,1.69,7.63,3.41,174.48,0,3.62,0,130.04,2.29,0,1.91,1.13,0,0,10.93,142.62,3.21,0,1619.4,0,1.86,0,0,1.59,0,0,117.42,0,1.68,9.21,13.77,6.59
 96-106,0,0,5.63,10.54,0,147.74,0,0,0,108.81,3.97,0,0,1.9,0,0,0,193.39,4.8,9.32,1452.29,1.42,3.44,0,1.28,3.39,0.66,0,56.38,1.68,3.31,19.82,26.63,9.4
108-118,0,0,0.57,12.07,2.53,175.06,0.56,2.03,0,109.19,2.79,0,1.79,0,2.47,0.6,0,199.66,4.3,0,2110.42,0,0.7,0,0,0.67,0,0,61.01,0,1.66,9.98,25.56,0
120,0,0,0,17.2,0,247.98,0,2.74,1.29,88.96,0,6.17,0,0,0,0,0,159.95,0,0,2737.76,0,8.55,0,0,4.17,0,0,48.08,0,0,10.45,47.31,0
