stage,blastomeres,immune,mesenchyme,periderm,spinal.cord,vasculature
  3-4,10.06,0,0,20.87,0,0
  5-6,6.67,0,0,0,0,0
 48-58,0,0,0,0,0.7,0
 84-94,0,0,0,0,0,1.1
108-118,0,1.22,2.06,0,0,0
