stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,29.73,7.27,58.11,0,3.63,0,9.47,0,0,0,0,0.89,0.87,0,3,0,22.35,0,0,7.43,9052.47,2.49,0,0.93,3.63,0,8.1,13.58,1.66,0,17.25,2271.69,0,0,0,2.03
 24-34,31.47,0,57.48,0,0,1.81,29.53,0,2.21,1.02,0.98,0.72,1.61,0,0,0,41.05,0,0,9.26,13601.08,2.33,3.71,2.11,0,0,10.64,0.97,0.71,1.8,4.57,3900.72,0,0,30.68,14.75
 36-46,2.81,0.76,31.2,0,4.91,0,291.06,0,0,0,0,0,0,0,2.4,9.74,25.39,2,2.11,10.67,8231.11,1.68,3.38,9.08,0,0,22.04,0,1.83,0,0,3021.41,0,1.04,14.69,1.44
 48-58,7.04,0.63,97.7,0,13.29,0,839.25,0,0,0.44,0,0.43,0.38,1.12,0,0,17.46,0,0,11.01,3312.21,5.13,0,1.52,0,0.39,8.99,0,0,0,0,2162.13,0,0,1.11,0
 60-70,10.42,0,28.77,0,0,0,941.88,0,0,0,0,5.68,0,0,0,0,9.79,0,0,9.27,1290.24,0,0,0,0,0,0,0,3.18,0,0,712.01,0,0,0,0
 72-82,9.43,12.34,71.3,0.75,0,0,1198.21,0,0,0,1.75,0,0.57,0,0,0,15.69,1.23,0,19.85,735.67,0,0.88,0,0,0,5.2,0,0,0,0,186.46,0,0,1.02,4.81
 84-94,18.94,0,94.47,0,0,0,784.64,0,0,0,0,0,0.62,0,0,0,11.87,0,0,27.91,481.49,0,0,1.47,0,0,4.88,0,0,0,0,254.34,0,0.77,0,0
 96-106,11.72,1.66,64.78,0,0,0,944.67,0.69,0,0.96,0.85,0,0,0.75,10.33,0,24.49,0.76,3.29,8.86,481.16,0,0,0,0,0,3.34,0,0,0,0,80.98,0,0,1.88,0
108-118,7.86,0,46.89,0,0.41,9.43,976.61,0,0,0,1.19,0,0.44,0,0,0,14.93,0,3.11,13.14,636.92,0,0.68,0,0,0.86,3.45,0,0.54,0,0,63.02,0,0,0,0
120,2.19,6.91,207.19,0,0,0,959.24,0,0,0,0,0,0,0,0,0,9.2,0,0,11.87,601.64,0,0,1.86,0,0,0,0,0,0,0,122.39,5.98,0,0,0
