stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.19,19.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,24.35,0,0,4.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,45.2,0,0,7.1,0,0,0,0,0
 14-21,0,0,0,0,0,0.88,0,0,0,0,0,10.37,0,0,0,0.83,0.84,0,0,0
 24-34,0,0,0,0,0,4.19,0,0,2.16,1.01,0,14.52,0,0,0,0,0.75,0,0,0
 36-46,0,0,0,0,0,3.59,0,0,0,1.2,0,30.27,0,0,0,0,1.32,0,0,0
 48-58,0,0,0,0,0,5.4,3.35,0,0,0,0,5.1,0,0.48,0,0,0,0,0,0
 60-70,0,0,0,0,0,4.37,0,0.63,0,8.08,0,0.77,0,0,0,0,1.65,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,4.13,0.92,0,0,0.81,0,0,0,1.02,1.14,4.81
 84-94,0,0,0,0,1.06,1.99,0.62,0,0,0,0,1.15,0,0,0,0,0,0,0,0
 96-106,0,0,1.85,0,0,0.56,1.1,0,0,2.05,0.85,0,0.77,0,0,0,0,0,0,0
108-118,0,0,0.74,0,0,2.11,4.33,0,0,7.3,0.56,6.43,0,0,0,0,0,0,0,0.73
120,0,0,0,2.04,0,1.69,0,0,0,5.82,0,4.03,0,0,0,0,0,3.34,0,0
