stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,gut,hatching.gland,heart,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,0,201.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0
  5-6,35.34,307.62,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0,18.43,0,0,0,0
  7-9,0,0,0,3.87,0,18.04,0,0,5,0,0,0,0,0,267.72,5.9,0,0,83.29,0,0,0,0,0
 10-12,0,0,0,0,0,6.72,0,0,3.85,0,0,0,0,0,70.17,0,0,0,55.45,0,0,0,0,0
 14-21,0,0,0,0,3.52,0,0,0,0,0,0,0.83,0,3.84,10.6,0,0,0,0.94,0,1.7,1.88,0,0
 24-34,0,0,0,0,0,1.28,0,0,0,0,0,0.96,1.26,0,1.47,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,3.96,0,0.63,0,0,5.73,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03
 60-70,0,0,0,0,4.29,4.13,0,0,0,0,0,2.29,0,0,4.81,0,5.74,1.71,0,5.12,0,0,0,0
 72-82,0,0,0,0,0,1.57,0,0,0,0,0,0.72,0,0,1.29,0,0,0.53,0,0,0,0,0,0
 84-94,0,0,0,0,4.7,11.64,0,0,0,0,0,0,0,0,1.36,0,0,0,0,2.81,0,0,0,0
 96-106,0,0,0.95,0,0,0,0,0.67,0,0,0.65,0,0,0,1.05,0,0.9,2,0,2.97,0,0,0,0
108-118,0,0,0,0,0.43,0.49,0.59,0,0,0.83,0,0,0,0,0,0,0.49,0,0,0.48,0,0,0.44,0
120,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66,0,0,1.1,0
