stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.31,1394.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.16,1535.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,0,0,0,7.71,0,7.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,33.88,34.28,0,40.39,0,0,119.92,0,0,0,0,0,42.84,0,0,0,0,0,0,0,0,0,0,0,1241.44,25.21,0,0,407.02,0,0,11.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.71,0,83.18,0,5.31,60.81,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,1041.14,46.94,0,0,303.85,0,0,0,0,19.41,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.24,23.89,0.83,11.1,0,0,0,9.45,0.91,0,0,0,0,0,0,1.46,0,13.34,0,0,5.07,202.68,3.66,0.85,1.68,5.01,0,10.33,0,20.92,2.73,4.69,14.87,50.53,0,0,1.06,0,0
 24-34,0,0,0,2.05,5.47,0,38.17,0,2.14,1.6,11.14,0,0,0,0,2.27,0,1.2,0,0.94,24.99,0,0,6.37,313.88,0.9,2.95,3.9,0,0,26.8,0,0,0,0,2.01,51.95,0,0,8.74,0,0
 36-46,0,0,0,0,22.42,0,62.67,0,1.15,1.49,13.09,0.61,0,2.05,0,0,0,0.77,0,0,19.08,0,0.71,3.47,310.53,0.97,0,9.59,0,0,10.26,0,1.39,0,0,0,52.02,0,0,2.09,0,1
 48-58,0,0,0,0,8.79,0,102.49,1.05,0.49,0.85,35.72,0,0,0,0,0,1.21,1.05,0.87,0,48.09,0.63,0.43,3.64,392.14,0,0.58,0.98,0,0.45,2.21,0,0,0,2.74,0,80.57,0,0.42,5.16,0,0
 60-70,0,0,0,0,5.78,0,143.91,0.61,0,1.04,41.24,1.58,0,0,0.76,0.64,1.82,0,0,0.59,47.17,0,2.87,4.6,411.98,0,5.25,0.83,0,0,9.72,0,0,0,0,0,36.33,0,1,0,0,14.72
 72-82,0,0,0.69,0,8.65,1.34,151.94,0,0,0.93,33.88,0,0,1.84,1.47,0,0,1.28,0,0,58.25,2.87,0,7.75,262.48,2.45,1.63,8.4,0,0.71,4.62,0,0,0,0,0,40.68,0,1.24,0.6,2.71,10.99
 84-94,0,0,0,1,14.07,9.01,82.61,0,0.66,0,28.16,0.58,0.86,0,0.83,0.83,0.58,0.84,0,2.08,51.53,1.13,1.87,3.83,186.16,0,7.1,2.95,0,0,16.88,0,0,0.73,0,0,28.91,0.97,5.72,6.26,1.52,0
 96-106,0,0,0,0,5.58,9.79,73.13,0.74,2.35,1.38,38.91,4.86,0,0,2.01,0,5.51,1.31,0,0,42.09,2.72,0.75,9.74,169.99,0,8.83,3.75,0,0.83,3.66,0,0,0.69,0,0,34.13,2.71,0,10.39,2,16.75
108-118,0,0,0,0.74,12.27,4.05,131.24,0,0,0.43,33.28,1.51,0,0,6.18,6.38,3.03,1.53,0,0.84,38.35,0,0,4.61,199.97,0,1.36,2.03,0,0,10.85,0,0,0,0,0,12.5,4.38,1.16,3.65,1.02,3.62
120,0,0,0,0,22.07,20.38,133.47,1.26,5.3,4.01,40.76,0,0,0,14.24,0,0,0,0,0,37.65,2.8,2.58,5.04,291.68,0,0,0,0,0,14.39,0,0,2.89,0,0,16.85,0,0,15.72,0,0
